OrderID,Date,StoreID,ProductID,SupplierID,Qty,Sales,ShipDays,Status
47,2025-03-23,32,318,147,7,316.8,5,Delayed
48,2024-06-02,211,523,132,2,78.58,9,Delayed
49,2025-01-15,279,1417,349,17,965.45,1,Delivered
50,2024-03-30,212,434,40,1,88.35,4,In Transit
51,2025-10-18,163,2159,462,7,641.63,2,In Transit
52,2024-02-12,175,934,66,3,215.4,6,In Transit
53,2025-03-25,48,987,469,19,482.31,8,Delivered
54,2024-01-15,231,549,137,18,182.69,3,Delayed
55,2024-11-19,27,2196,199,18,1281.73,9,In Transit
56,2024-09-22,159,1727,437,10,1148.64,6,In Transit
57,2025-12-06,260,440,148,4,103.72,10,Delayed
58,2024-12-30,138,2346,312,3,51.57,7,Delayed
59,2025-04-11,228,1156,145,5,334.3,5,Delivered
60,2025-10-13,15,986,65,4,268.09,6,Delivered
61,2025-07-02,156,2048,35,11,1310.54,4,Delivered
62,2025-05-29,243,2312,350,1,74.07,3,Delivered
63,2025-06-04,71,501,358,11,1222.85,2,In Transit
64,2024-02-13,122,1229,57,20,1950.19,7,Delivered
65,2025-04-28,187,907,65,2,37.81,1,In Transit
66,2024-04-06,75,1211,345,14,1110.58,8,Delivered
67,2025-02-13,198,706,32,16,1856.34,6,In Transit
68,2025-06-11,253,2260,273,7,510.37,5,Delayed
69,2024-08-10,235,21,201,17,1659.47,9,In Transit
70,2024-06-02,299,2374,32,7,460.35,8,In Transit
71,2025-12-05,265,35,402,15,1594.99,1,In Transit
72,2025-03-14,211,1285,147,4,362.35,6,Delivered
73,2025-05-17,126,1274,191,10,583.39,9,In Transit
74,2025-05-27,150,1538,268,11,256.92,2,Delayed
75,2025-12-12,213,1797,180,5,297.4,6,Delayed
76,2025-02-28,185,721,461,13,1435.26,6,Delivered
77,2024-01-08,175,727,341,2,56.14,8,Delayed
78,2024-05-14,163,30,168,14,433.12,5,Delivered
79,2024-08-02,128,1660,75,10,1084.51,1,In Transit
80,2024-01-21,42,1161,444,18,565.39,7,In Transit
81,2024-05-28,40,934,383,20,1461.07,3,Delivered
82,2024-09-12,283,333,109,8,108.17,4,Delivered
83,2024-02-08,35,654,341,3,113.58,3,Delivered
84,2025-01-25,51,7,279,20,1952.77,5,Delayed
85,2024-02-13,65,2077,378,2,32.76,4,Delayed
86,2024-10-12,59,635,65,7,681.13,1,In Transit
87,2025-04-22,276,99,102,9,209.23,5,Delivered
88,2025-04-30,5,671,430,12,1018.53,10,Delayed
89,2025-06-15,265,1875,394,5,399.33,8,Delivered
90,2024-07-11,107,1373,414,18,1117.23,7,Delivered
91,2024-08-14,111,1870,115,10,967.58,9,Delivered
92,2024-03-28,51,1587,232,17,508.37,3,In Transit
93,2025-09-15,178,464,16,16,1281.8,10,Delivered
94,2025-02-18,283,2334,299,10,812.72,10,Delivered
95,2024-05-28,68,777,478,19,1344.58,2,Delayed
96,2025-12-23,250,1247,328,20,685.93,7,Delivered
97,2024-11-01,163,2188,463,2,13.05,2,Delayed
98,2025-03-04,40,2088,304,3,314.23,2,In Transit
99,2025-07-12,75,726,113,11,721.49,7,Delivered
100,2025-12-25,286,743,489,12,1352.84,7,Delayed
101,2025-11-04,32,94,60,1,14.09,3,Delivered
102,2024-04-27,166,2152,123,10,710.4,1,In Transit
103,2024-04-23,208,168,48,7,579.7,10,Delayed
104,2025-01-16,41,306,302,2,148.63,9,In Transit
105,2024-01-28,277,2112,184,13,232.52,5,In Transit
106,2024-01-26,224,1227,270,20,1177.0,9,Delayed
107,2024-02-27,216,538,55,19,955.68,7,In Transit
108,2025-08-12,6,1562,30,9,885.76,4,Delivered
109,2025-09-23,99,718,159,8,54.68,6,In Transit
110,2024-05-01,47,408,487,1,105.96,6,In Transit
111,2024-03-09,15,143,97,20,1130.11,6,Delayed
112,2024-06-01,268,1624,311,1,14.58,9,In Transit
113,2025-03-04,179,887,130,6,708.59,3,Delayed
114,2025-11-19,240,511,120,15,1708.28,2,In Transit
115,2024-10-13,245,1484,282,6,669.28,8,In Transit
116,2025-12-27,3,2311,458,15,924.75,5,Delivered
117,2024-02-13,174,1073,216,13,1016.87,9,Delivered
118,2025-06-23,271,600,270,12,638.84,10,Delayed
119,2024-07-21,212,1392,356,16,695.59,1,In Transit
120,2024-08-05,32,372,93,5,363.11,7,In Transit
121,2024-05-18,132,936,303,14,652.79,4,Delivered
122,2025-10-14,7,2233,367,11,1225.6,10,Delivered
123,2025-05-13,181,1667,268,14,606.06,8,Delayed
124,2024-07-16,93,940,407,11,930.13,6,Delayed
125,2025-01-05,61,1715,116,16,1876.72,1,In Transit
126,2025-05-18,208,2279,254,4,228.55,2,Delivered
127,2025-12-14,86,175,224,12,776.36,4,Delayed
128,2025-05-03,71,1092,400,12,1435.86,6,Delayed
129,2025-09-05,122,361,159,11,78.85,6,Delivered
130,2024-07-19,127,208,390,19,2032.54,8,Delayed
131,2024-08-11,125,1719,377,6,114.13,10,In Transit
132,2024-05-13,34,1935,13,4,151.4,3,Delayed
133,2024-07-30,156,1911,305,9,1056.73,9,Delivered
134,2025-06-26,3,205,453,2,82.38,8,Delivered
135,2024-05-22,221,99,430,20,1818.39,1,In Transit
136,2024-09-15,253,1385,177,7,501.61,2,Delayed
137,2024-12-15,31,2098,311,3,200.43,4,In Transit
138,2024-03-02,78,323,290,20,922.33,5,Delayed
139,2025-04-25,58,1086,231,4,24.28,5,Delayed
140,2025-01-01,282,1789,131,20,1647.97,8,In Transit
141,2025-03-18,32,1587,153,8,368.84,4,Delivered
142,2024-01-09,80,1351,236,6,502.78,2,In Transit
143,2025-12-26,72,2006,467,11,876.06,3,Delayed
144,2024-10-07,78,2160,267,13,1047.55,5,Delivered
145,2024-03-02,48,1625,454,18,1575.4,8,Delivered
146,2024-05-24,128,2272,139,5,567.92,9,Delivered
147,2024-08-21,250,149,249,17,1012.21,10,Delivered
148,2025-02-13,276,947,431,18,1141.93,3,In Transit
149,2025-03-19,61,1309,138,4,90.81,7,In Transit
150,2025-02-04,30,1315,277,2,130.47,10,Delivered
151,2024-12-16,163,1564,154,19,1419.43,1,Delayed
152,2024-06-16,196,1106,386,17,1332.73,5,Delayed
153,2025-02-05,80,1406,118,20,1600.31,9,Delivered
154,2024-06-04,137,1580,326,14,1583.78,10,Delivered
155,2024-10-25,236,1300,15,7,507.59,2,Delivered
156,2025-12-05,76,714,117,11,1246.95,8,Delivered
157,2024-10-04,164,2122,73,19,799.5,5,In Transit
158,2025-11-16,248,2203,389,3,159.0,5,Delayed
159,2024-12-26,3,2032,423,1,31.45,3,Delayed
160,2025-08-24,191,454,118,15,1320.37,8,In Transit
161,2024-08-06,139,1602,478,11,123.89,10,Delayed
162,2025-05-01,24,1527,302,10,131.08,3,Delayed
163,2024-05-12,88,2061,228,12,370.39,5,In Transit
164,2025-11-21,37,108,10,17,1816.22,2,Delayed
165,2024-11-13,222,949,187,16,326.26,8,In Transit
166,2025-12-25,68,1933,313,3,160.08,3,Delivered
167,2024-10-15,78,171,391,5,551.97,2,In Transit
168,2025-09-25,154,1319,163,10,76.31,1,Delayed
169,2024-04-05,169,912,416,20,779.45,7,Delayed
170,2024-08-14,219,2425,227,7,837.15,8,Delayed
171,2024-06-03,49,1641,135,16,486.22,7,In Transit
172,2025-01-03,73,2178,491,12,1032.55,7,Delivered
173,2024-01-08,182,2,80,11,721.5,1,Delayed
174,2025-04-13,185,36,345,10,68.09,6,Delayed
175,2024-04-03,245,2303,83,5,503.01,7,Delayed
176,2024-11-17,246,1372,300,16,1128.3,4,Delayed
177,2025-11-28,55,1562,487,13,73.59,6,Delayed
178,2025-09-11,280,1163,476,19,168.77,9,Delivered
179,2025-08-08,208,181,386,7,838.11,8,Delayed
180,2025-09-25,279,639,370,4,109.58,4,In Transit
181,2025-05-26,187,2005,413,15,962.52,8,Delayed
182,2025-05-13,91,977,395,8,938.24,1,Delayed
183,2025-09-22,168,1232,307,20,1857.16,4,Delayed
184,2025-05-20,54,1148,118,19,1500.65,1,Delayed
185,2024-01-22,115,1581,250,17,233.52,7,Delayed
186,2025-04-02,215,1183,188,8,373.75,6,Delivered
187,2025-02-25,32,749,41,7,717.5,9,In Transit
188,2025-10-19,70,1565,463,18,710.16,8,Delivered
189,2024-09-13,257,1832,375,4,411.95,3,Delivered
190,2024-12-31,25,2220,27,19,708.93,6,In Transit
191,2024-09-25,185,779,384,20,1802.13,7,Delivered
192,2024-02-02,283,2376,213,19,1936.59,9,In Transit
193,2025-03-09,215,2350,209,1,65.63,6,Delivered
194,2025-02-22,82,1689,294,20,503.75,3,Delayed
195,2024-08-07,55,153,407,10,274.41,2,Delayed
196,2024-10-01,89,1853,148,11,724.16,2,Delayed
197,2024-03-18,274,616,150,11,502.55,1,Delayed
198,2025-08-16,69,197,164,16,1411.77,6,Delivered
199,2024-10-07,83,1649,210,5,422.11,1,Delivered
200,2024-12-26,233,2393,162,2,219.21,9,In Transit
201,2025-11-02,155,1663,289,16,1902.58,9,Delayed
202,2024-12-18,206,861,43,11,602.93,6,In Transit
203,2024-07-11,57,2369,306,16,485.95,4,Delivered
204,2025-09-29,123,907,248,16,1263.4,4,In Transit
205,2024-11-06,144,1614,477,11,1264.88,8,In Transit
206,2024-07-25,251,374,400,15,1153.53,7,In Transit
207,2024-07-19,297,214,97,10,652.9,9,Delayed
208,2025-05-25,146,2449,377,9,558.44,1,In Transit
209,2024-09-12,40,2271,450,16,1681.42,2,Delivered
210,2025-09-02,241,1869,211,4,462.58,2,In Transit
211,2024-11-25,46,1845,447,7,466.9,2,In Transit
212,2024-09-15,279,2391,437,15,945.87,1,Delivered
213,2024-07-12,47,510,285,15,1479.33,10,In Transit
214,2024-04-28,29,312,171,7,536.29,3,In Transit
215,2025-10-13,15,411,70,13,393.15,3,In Transit
216,2024-11-19,260,51,441,15,662.09,9,Delayed
217,2025-01-09,3,619,434,3,298.53,7,Delivered
218,2025-04-19,264,1326,319,6,109.57,2,Delivered
219,2024-05-23,76,2458,369,16,1846.52,9,Delivered
220,2024-12-04,251,544,195,14,123.39,1,Delayed
221,2024-04-11,264,576,481,2,68.73,3,Delayed
222,2024-08-02,118,346,223,12,967.65,9,Delivered
223,2025-01-09,74,1724,472,10,384.57,9,Delayed
224,2025-09-02,152,308,352,2,154.79,3,In Transit
225,2024-02-25,220,484,165,10,468.47,9,Delayed
226,2024-04-18,60,1836,336,13,895.21,1,In Transit
227,2025-02-10,49,1632,35,6,163.62,5,In Transit
228,2024-04-18,213,867,396,11,1127.53,7,Delivered
229,2024-07-05,285,1419,457,14,1558.39,10,Delayed
230,2024-02-17,154,160,332,1,116.65,3,In Transit
231,2024-10-11,49,1289,87,5,328.96,2,Delayed
232,2025-09-26,258,1867,482,9,467.16,1,Delayed
233,2025-05-04,153,830,384,19,2083.37,9,In Transit
234,2024-02-14,218,479,78,8,69.54,6,Delivered
235,2025-01-31,40,1830,259,1,99.62,9,Delivered
236,2025-11-30,290,187,377,20,2139.01,2,In Transit
237,2025-11-05,234,457,85,12,331.0,3,In Transit
238,2025-11-03,275,1744,357,10,594.12,2,In Transit
239,2025-01-16,188,316,86,14,1203.34,8,Delivered
240,2025-07-16,171,161,110,16,1081.06,7,In Transit
241,2024-04-19,101,815,391,5,387.98,9,In Transit
242,2025-02-04,245,1624,429,20,1849.43,10,In Transit
243,2024-09-06,28,2415,245,11,547.66,9,In Transit
244,2025-03-16,233,1195,207,1,111.97,8,Delayed
245,2024-02-23,204,1320,101,14,200.83,6,Delivered
246,2024-03-19,267,2146,260,9,373.99,4,Delayed
247,2025-08-04,250,534,201,2,145.7,1,In Transit
248,2024-02-26,285,2080,306,9,465.92,5,Delivered
249,2024-01-14,214,1387,401,11,147.52,6,In Transit
250,2024-04-06,132,715,75,6,663.94,6,In Transit
251,2025-12-24,237,498,271,1,47.29,2,In Transit
252,2025-03-12,297,1903,213,11,587.59,3,In Transit
253,2025-11-29,26,1002,376,19,442.34,3,Delayed
254,2024-11-17,190,1062,235,19,283.33,6,In Transit
255,2024-09-25,94,888,217,14,281.22,9,Delivered
256,2024-06-23,25,2334,429,6,230.67,10,Delayed
257,2025-02-09,44,1940,169,18,1505.97,1,Delivered
258,2025-07-21,76,1547,177,12,247.01,8,Delivered
259,2025-08-02,250,1551,143,7,355.85,6,In Transit
260,2025-07-04,56,2430,6,10,163.95,7,In Transit
261,2025-01-25,228,1814,51,20,1033.46,10,Delivered
262,2024-01-20,100,590,417,11,1245.67,2,Delayed
263,2024-03-23,117,1756,111,8,792.34,10,Delivered
264,2024-06-03,110,1051,240,1,71.1,7,Delivered
265,2025-03-02,146,1455,225,19,1643.27,9,In Transit
266,2024-08-30,259,750,29,14,493.57,3,Delayed
267,2025-08-06,199,1922,287,2,63.29,1,Delayed
268,2024-05-02,80,269,137,6,516.41,4,Delivered
269,2025-07-21,104,1307,412,18,492.26,1,Delayed
270,2024-07-23,179,1596,238,3,318.04,6,In Transit
271,2025-12-07,156,659,205,19,615.66,6,In Transit
272,2025-12-08,233,449,423,15,950.23,6,Delayed
273,2025-12-11,96,1723,138,3,117.59,9,In Transit
274,2025-02-13,212,268,176,16,1759.61,3,Delayed
275,2025-11-17,228,126,482,15,918.57,4,Delivered
276,2025-02-18,274,2070,287,15,609.26,1,Delayed
277,2025-02-14,28,163,446,19,1260.93,3,Delivered
278,2024-04-16,266,1564,383,19,2034.45,8,Delayed
279,2025-03-26,42,53,499,6,334.39,7,Delivered
280,2024-08-16,187,2009,462,1,37.36,6,Delivered
281,2024-04-15,132,2217,182,19,298.14,2,Delayed
282,2025-01-19,36,858,184,4,240.7,4,Delayed
283,2025-03-20,53,166,424,13,1158.85,3,In Transit
284,2024-04-25,167,1075,22,7,370.83,9,Delayed
285,2024-12-20,189,1410,121,18,938.48,10,In Transit
286,2025-03-29,258,1498,268,11,268.64,6,In Transit
287,2025-11-27,229,1105,468,6,326.16,6,In Transit
288,2024-06-17,103,2257,45,19,920.06,4,Delivered
289,2025-08-03,72,372,426,13,989.52,1,Delayed
290,2025-03-20,165,1512,259,8,524.99,2,In Transit
291,2024-02-19,8,1665,344,13,556.08,7,In Transit
292,2025-05-27,106,1420,305,10,102.52,8,Delayed
293,2024-05-16,129,1772,312,1,59.44,10,Delayed
294,2024-10-30,207,1683,2,20,1651.53,2,Delivered
295,2024-01-14,240,1809,150,15,1516.04,1,Delivered
296,2024-01-01,25,2008,165,16,1728.18,8,Delivered
297,2025-08-10,153,976,221,17,519.6,2,Delayed
298,2024-04-15,110,125,346,14,536.31,5,Delayed
299,2025-04-25,13,2403,28,6,579.41,8,In Transit
300,2025-09-10,43,2186,39,17,916.85,6,Delayed
301,2025-05-22,43,1916,335,16,1179.67,1,Delivered
302,2024-06-29,237,537,428,13,681.36,9,Delayed
303,2025-11-30,77,70,435,18,977.19,3,Delivered
304,2025-09-07,58,2065,499,2,130.61,1,In Transit
305,2024-12-05,279,1551,86,6,623.14,2,In Transit
306,2024-08-21,225,477,240,14,1399.6,2,In Transit
307,2024-06-04,114,594,136,12,518.41,2,In Transit
308,2025-03-25,57,821,359,8,215.23,2,Delivered
309,2024-08-14,42,574,367,2,38.09,5,In Transit
310,2025-03-15,260,998,149,2,198.18,10,Delivered
311,2025-04-09,177,1542,23,17,299.3,3,In Transit
312,2024-11-04,80,2019,89,18,993.75,8,Delayed
313,2024-10-20,109,853,146,9,494.31,7,In Transit
314,2024-08-27,141,2081,210,10,883.66,6,Delayed
315,2024-09-09,191,1201,82,11,1096.39,8,Delivered
316,2025-11-14,281,2162,126,15,978.4,5,In Transit
317,2025-02-15,202,1689,385,8,99.98,6,Delayed
318,2024-07-08,57,2478,222,18,1059.1,5,Delivered
319,2024-06-07,228,537,153,17,902.79,8,Delivered
320,2024-11-09,172,547,323,17,1139.97,6,Delayed
321,2024-12-07,294,2363,357,18,879.28,7,Delivered
322,2024-05-31,167,59,235,11,514.93,8,In Transit
323,2025-05-06,35,2271,65,7,602.09,10,In Transit
324,2025-07-01,230,2082,220,2,178.26,6,Delivered
325,2025-02-21,223,1493,394,14,623.33,4,Delayed
326,2025-10-04,186,2104,183,17,2022.74,9,Delayed
327,2025-08-17,291,2289,268,8,426.72,2,In Transit
328,2025-08-02,120,1044,337,8,740.85,5,Delayed
329,2025-09-01,17,93,431,17,1600.51,4,In Transit
330,2025-09-05,284,752,380,8,325.4,9,Delivered
331,2025-02-24,179,1651,46,3,75.66,5,In Transit
332,2025-01-11,219,2496,118,19,497.46,5,Delivered
333,2025-11-13,284,2244,82,8,167.59,9,In Transit
334,2025-05-08,108,1551,54,7,220.68,9,In Transit
335,2025-11-07,166,1779,55,7,610.52,4,In Transit
336,2024-12-18,125,740,251,16,431.75,8,Delivered
337,2024-10-21,10,1766,314,8,66.14,4,Delayed
338,2025-12-28,245,1978,110,13,451.86,3,Delivered
339,2024-04-14,152,1752,190,11,518.65,7,In Transit
340,2024-08-14,141,1708,469,5,65.63,4,Delivered
341,2024-02-23,280,2174,190,8,159.74,4,In Transit
342,2024-01-28,231,1710,28,8,533.67,3,In Transit
343,2024-06-23,88,2231,224,6,483.84,8,Delivered
344,2024-07-28,235,1519,16,20,420.64,10,Delivered
345,2025-01-11,62,1712,222,9,471.38,3,Delivered
346,2024-06-06,81,2293,240,12,376.31,3,Delivered
347,2024-07-09,216,1790,171,18,1810.38,2,Delivered
348,2024-09-25,31,576,443,7,264.43,7,Delivered
349,2024-11-14,11,2110,274,9,298.33,9,Delivered
350,2024-08-04,130,708,29,14,487.02,8,Delayed
351,2025-03-06,152,431,43,5,306.31,9,Delayed
352,2024-10-04,213,316,181,15,501.44,10,In Transit
353,2025-11-02,298,164,157,8,921.87,10,Delivered
354,2025-07-08,195,1697,435,2,236.75,3,In Transit
355,2025-07-13,150,1322,312,16,1171.46,7,Delivered
356,2024-04-30,202,1075,282,19,2126.38,5,Delayed
357,2024-06-13,215,2392,266,20,1205.29,6,Delayed
358,2025-12-08,277,1698,396,1,70.06,4,In Transit
359,2024-01-26,98,751,290,14,1233.45,6,Delivered
360,2024-11-20,115,1691,29,17,1139.87,7,Delivered
361,2024-09-09,195,2467,92,20,1832.55,4,In Transit
362,2024-02-17,180,1623,303,12,801.55,7,Delayed
363,2024-10-19,291,1473,146,19,1607.16,8,Delayed
364,2025-04-26,227,63,187,10,85.04,2,Delivered
365,2025-09-01,282,221,336,17,744.59,1,Delivered
366,2024-02-16,259,359,365,11,1090.95,4,In Transit
367,2025-03-12,159,1919,47,16,1612.41,1,Delivered
368,2025-09-08,192,1440,128,15,1319.98,10,Delivered
369,2024-10-07,110,1604,236,5,468.67,10,Delayed
370,2025-03-19,86,1521,141,11,621.76,10,Delayed
371,2024-09-24,38,2336,222,6,648.43,5,Delayed
372,2024-01-02,231,1182,493,18,334.08,1,Delayed
373,2025-08-18,150,1217,147,15,973.58,2,Delayed
374,2024-07-06,99,2339,206,4,141.12,6,Delivered
375,2025-01-12,5,2260,455,18,96.48,1,Delivered
376,2025-07-24,241,1336,317,14,111.23,1,In Transit
377,2025-04-28,235,670,417,7,430.71,1,Delayed
378,2025-01-11,212,345,87,3,202.5,4,Delayed
379,2025-04-06,172,1364,3,18,485.13,7,In Transit
380,2024-04-08,137,1341,274,17,499.98,10,Delayed
381,2024-05-29,164,1473,349,19,1003.09,7,In Transit
382,2024-07-14,217,1441,190,13,170.15,4,In Transit
383,2024-04-12,88,1349,145,3,205.9,5,Delayed
384,2024-03-06,256,2156,282,12,794.61,10,Delayed
385,2024-01-12,268,2099,311,18,1086.25,6,Delivered
386,2024-07-08,36,1166,17,7,141.84,1,In Transit
387,2025-03-01,59,989,387,3,212.68,9,Delayed
388,2024-10-24,157,496,453,20,151.59,9,Delayed
389,2024-05-22,115,1494,18,13,619.03,8,Delivered
390,2024-09-14,211,1248,222,13,141.1,6,In Transit
391,2025-12-13,164,347,116,8,936.53,4,Delayed
392,2024-01-06,75,652,51,17,611.04,4,Delayed
393,2024-12-18,286,296,85,19,998.17,1,In Transit
394,2024-08-10,258,2423,419,20,1455.78,10,Delivered
395,2024-10-19,176,1991,223,10,78.37,4,Delayed
396,2024-04-03,283,2168,37,9,520.79,10,Delayed
397,2025-11-12,253,2457,121,12,725.7,5,Delayed
398,2025-05-21,156,1215,92,8,549.78,7,Delayed
399,2024-06-25,247,2301,294,14,274.21,2,Delivered
400,2025-11-05,30,157,88,7,650.86,8,Delivered
401,2025-11-22,37,2479,484,17,890.01,1,Delivered
402,2024-02-24,181,2339,229,17,1189.73,5,Delayed
403,2024-05-15,202,1372,44,17,1348.27,6,Delayed
404,2024-08-17,205,981,455,14,1311.17,5,Delayed
405,2024-06-19,200,2178,362,1,14.07,4,Delivered
406,2025-02-16,247,1407,13,10,988.25,1,Delivered
407,2025-06-27,17,914,293,13,459.6,9,In Transit
408,2025-11-12,121,2384,361,2,51.24,7,In Transit
409,2024-08-10,172,1225,130,12,153.34,8,In Transit
410,2024-05-27,120,463,486,1,77.34,5,Delayed
411,2025-06-03,180,1792,497,7,293.79,9,In Transit
412,2025-05-16,221,508,471,17,1376.18,5,Delayed
413,2025-06-06,85,887,132,12,1345.0,4,Delivered
414,2024-04-19,164,2065,88,10,1197.22,8,Delayed
415,2025-06-16,124,1409,68,17,334.64,6,In Transit
416,2024-11-14,219,2389,401,8,190.53,2,Delivered
417,2025-06-15,57,257,117,7,210.06,8,In Transit
418,2025-08-26,207,2237,229,1,63.49,5,In Transit
419,2024-07-08,114,350,20,17,1861.71,7,Delayed
420,2025-03-21,244,1309,414,17,1589.42,4,Delivered
421,2024-07-25,293,404,440,15,1688.31,10,Delivered
422,2024-12-03,222,1118,380,11,360.27,6,Delayed
423,2025-03-11,273,2476,60,6,579.48,5,In Transit
424,2024-10-15,238,1809,303,15,1274.07,10,Delayed
425,2024-05-20,265,358,495,10,907.27,5,In Transit
426,2025-06-26,118,8,383,17,865.07,5,Delayed
427,2025-10-07,170,1753,13,9,972.98,7,Delivered
428,2024-02-24,10,1136,49,17,1053.21,6,In Transit
429,2025-01-19,68,2395,279,20,471.51,9,Delayed
430,2024-12-29,46,1399,63,7,764.42,7,Delivered
431,2024-04-14,238,880,325,7,708.62,8,Delivered
432,2025-03-03,197,2389,109,20,2086.84,8,Delivered
433,2024-10-20,54,2484,198,6,245.42,8,Delayed
434,2025-02-12,223,1390,235,13,969.94,7,Delivered
435,2024-08-18,113,2092,55,5,290.69,8,Delivered
436,2024-06-26,177,1064,341,18,1335.61,2,In Transit
437,2025-02-18,41,1837,109,11,539.01,10,Delayed
438,2025-10-06,209,1802,188,5,365.41,7,In Transit
439,2025-11-09,188,1891,249,18,771.46,10,Delayed
440,2025-02-18,7,1928,203,19,1070.93,5,In Transit
441,2024-06-20,264,2155,256,3,195.92,8,In Transit
442,2025-09-22,110,927,5,14,1327.01,10,In Transit
443,2025-07-05,239,1405,126,13,604.39,4,Delivered
444,2024-12-15,290,1785,236,2,74.2,1,Delivered
445,2025-07-03,165,1547,463,18,673.99,5,Delayed
446,2024-04-22,56,2266,90,11,1079.75,7,In Transit
447,2024-10-31,51,1243,264,2,126.55,4,Delayed
448,2025-09-06,62,1579,46,8,167.5,8,In Transit
449,2024-11-16,180,1118,477,8,378.98,4,Delayed
450,2024-10-28,24,642,491,13,1010.87,9,In Transit
451,2025-03-30,79,128,4,11,830.22,7,In Transit
452,2025-12-15,31,264,180,5,337.97,6,Delayed
453,2025-08-27,76,360,64,1,105.53,8,Delayed
454,2025-11-10,225,1766,115,3,356.37,1,Delivered
455,2025-08-13,158,957,484,17,879.19,5,Delivered
456,2024-10-23,231,1578,156,10,568.69,9,Delivered
457,2025-11-08,213,576,22,3,311.37,9,In Transit
458,2024-07-09,44,1004,41,10,112.9,5,In Transit
459,2025-08-15,147,2111,166,9,724.43,6,Delivered
460,2025-08-16,1,858,197,14,245.71,9,Delayed
461,2024-07-12,136,944,399,17,953.98,2,In Transit
462,2024-05-05,222,1440,263,15,1496.51,5,In Transit
463,2025-02-27,199,1323,65,2,128.78,10,Delayed
464,2024-09-28,159,988,230,3,186.18,1,Delivered
465,2024-03-29,204,222,19,8,115.79,10,In Transit
466,2024-07-30,223,2488,301,11,1272.33,7,In Transit
467,2024-06-24,163,2409,349,3,326.0,3,Delivered
468,2025-02-23,21,231,393,8,508.46,2,Delivered
469,2025-07-31,84,511,318,4,142.84,10,In Transit
470,2025-07-31,33,1551,54,9,948.11,4,Delayed
471,2025-09-02,120,1103,84,18,906.33,10,In Transit
472,2025-03-15,77,1920,370,12,131.77,4,Delivered
473,2024-09-17,72,1487,13,11,148.47,3,Delivered
474,2024-12-15,223,2376,126,10,385.69,4,Delivered
475,2025-12-05,219,999,111,14,448.74,7,Delivered
476,2025-11-30,132,2168,270,12,572.31,4,Delivered
477,2025-09-01,95,35,62,9,350.0,1,Delivered
478,2024-07-30,256,2357,95,19,391.35,1,Delayed
479,2025-01-14,41,1121,404,3,345.0,3,In Transit
480,2025-12-08,150,2001,277,17,1961.99,9,Delayed
481,2025-07-01,69,817,378,10,1089.84,8,In Transit
