InventoryID,Date,ProductID,StoreID,WarehouseID,OpeningStock,ReceivedQty,SoldQty,ClosingStock,ReorderLevel,StockStatus,InventoryValue
INV000035,2025-03-07,172,158,WH024,920,20,183,757,103,Overstock,31460.92
INV000036,2025-12-08,422,182,WH050,573,208,79,702,286,Normal,39262.86
INV000037,2025-03-25,726,212,WH002,183,377,170,390,250,Normal,21836.1
INV000038,2025-12-09,1017,137,WH011,806,359,55,1110,147,Overstock,58374.9
INV000039,2025-08-29,912,103,WH030,358,156,116,398,107,Normal,1341.26
INV000040,2025-04-09,1633,169,WH018,885,35,142,778,139,Overstock,30505.38
INV000041,2025-07-24,2197,170,WH002,118,133,45,206,198,Normal,11912.98
INV000042,2025-05-16,157,56,WH039,444,176,160,460,161,Normal,17093.6
INV000043,2025-09-19,474,198,WH037,194,130,22,302,231,Normal,8241.58
INV000044,2025-09-24,2206,101,WH024,441,35,169,307,209,Normal,6204.47
INV000045,2025-03-05,1231,260,WH020,682,209,167,724,153,Overstock,30726.56
INV000046,2025-10-11,522,99,WH027,680,194,89,785,207,Normal,27482.85
INV000047,2025-07-27,2245,1,WH020,293,107,220,180,251,Low Stock,6415.2
INV000048,2025-12-02,1320,239,WH029,452,345,109,688,180,Normal,20254.72
INV000049,2025-03-28,348,146,WH033,679,324,171,832,73,Overstock,41159.04
INV000050,2025-05-01,1272,116,WH013,150,12,11,151,112,Normal,8919.57
INV000051,2025-11-09,299,234,WH027,907,322,294,935,99,Overstock,40822.1
INV000052,2025-07-16,2025,205,WH016,151,335,2,484,278,Normal,22051.04
INV000053,2025-02-24,1742,113,WH012,823,356,265,914,168,Overstock,4487.74
INV000054,2025-05-08,498,234,WH009,820,237,271,786,193,Overstock,28720.44
INV000055,2025-08-15,2068,219,WH036,456,81,243,294,165,Normal,5006.82
INV000056,2025-05-07,1136,267,WH032,641,122,140,623,162,Normal,4043.27
INV000057,2025-05-27,961,140,WH022,327,276,41,562,85,Overstock,6041.5
INV000058,2025-07-16,626,110,WH005,424,208,169,463,188,Normal,13436.26
INV000059,2025-02-01,848,216,WH025,926,394,299,1021,292,Normal,43229.14
INV000060,2025-10-22,1559,245,WH001,965,180,152,993,242,Overstock,24447.66
INV000061,2025-08-03,2205,280,WH039,919,112,249,782,106,Overstock,13943.06
INV000062,2025-09-06,119,200,WH022,684,347,207,824,235,Normal,9533.68
INV000063,2025-08-28,523,274,WH002,928,201,288,841,219,Normal,3002.37
INV000064,2025-11-26,1756,70,WH030,186,25,66,145,147,Low Stock,3043.55
INV000065,2025-08-21,1339,173,WH049,900,194,142,952,242,Normal,54425.84
INV000066,2025-08-04,1034,42,WH031,19,383,276,126,63,Normal,7558.74
INV000067,2025-06-29,919,36,WH050,980,333,20,1293,243,Overstock,4913.4
INV000068,2025-05-07,817,11,WH040,156,122,64,214,171,Normal,8737.62
INV000069,2025-10-16,893,239,WH045,262,392,188,466,92,Overstock,17307.24
INV000070,2025-02-28,671,160,WH007,592,13,159,446,197,Normal,18415.34
INV000071,2025-07-12,1625,102,WH005,606,353,124,835,76,Overstock,35437.4
INV000072,2025-06-04,2460,62,WH037,801,21,177,645,186,Normal,17318.25
INV000073,2025-07-09,283,260,WH042,349,6,215,140,260,Low Stock,4260.2
INV000074,2025-08-10,1484,236,WH046,156,222,90,288,237,Normal,9290.88
INV000075,2025-11-30,1107,276,WH050,495,238,223,510,261,Normal,22644.0
INV000076,2025-05-18,1321,126,WH006,285,230,124,391,242,Normal,11319.45
INV000077,2025-11-09,1553,173,WH002,506,166,93,579,174,Normal,8279.7
INV000078,2025-05-13,1395,144,WH039,718,141,284,575,52,Overstock,18377.0
INV000079,2025-04-08,351,124,WH047,416,250,284,382,244,Normal,6089.08
INV000080,2025-09-01,2011,230,WH002,95,150,56,189,153,Normal,7960.68
INV000081,2025-06-06,2383,189,WH031,566,271,176,661,158,Overstock,39527.8
INV000082,2025-10-09,1355,181,WH045,464,138,156,446,114,Normal,6855.02
INV000083,2025-04-09,1293,62,WH048,548,390,94,844,99,Overstock,12280.2
INV000084,2025-09-05,1133,269,WH039,289,51,99,241,125,Normal,3660.79
INV000085,2025-04-02,1239,8,WH046,546,64,140,470,61,Overstock,27499.7
INV000086,2025-10-11,1197,65,WH041,889,385,251,1023,76,Overstock,53830.26
INV000087,2025-10-21,1165,241,WH031,451,174,94,531,297,Normal,2644.38
INV000088,2025-09-02,468,34,WH026,503,37,295,245,211,Normal,10243.45
INV000089,2025-03-19,612,289,WH020,87,127,30,184,192,Low Stock,8526.56
INV000090,2025-11-07,2442,116,WH050,535,194,230,499,282,Normal,13812.32
INV000091,2025-10-29,1757,157,WH037,635,30,50,615,292,Normal,28437.6
INV000092,2025-11-17,865,136,WH043,83,80,61,102,94,Normal,3470.04
INV000093,2025-03-22,11,210,WH029,705,304,240,769,124,Overstock,2991.41
INV000094,2025-05-28,1159,233,WH005,703,119,135,687,251,Normal,32900.43
INV000095,2025-10-29,811,218,WH008,557,115,76,596,282,Normal,10376.36
INV000096,2025-03-14,293,31,WH011,811,157,291,677,285,Normal,12686.98
INV000097,2025-03-05,1920,156,WH045,412,139,256,295,188,Normal,9038.8
INV000098,2025-02-11,2450,21,WH028,752,165,128,789,56,Overstock,5759.7
INV000099,2025-12-12,2357,11,WH049,688,137,295,530,60,Overstock,24517.8
INV000100,2025-03-31,1928,266,WH042,452,142,92,502,199,Normal,13694.56
INV000101,2025-09-09,374,241,WH023,418,170,164,424,221,Normal,3421.68
INV000102,2025-03-24,1351,211,WH045,507,147,205,449,258,Normal,20703.39
INV000103,2025-01-19,1863,46,WH021,258,165,59,364,298,Normal,17038.84
INV000104,2025-09-21,5,278,WH030,423,27,96,354,182,Normal,8134.92
INV000105,2025-09-13,1811,27,WH014,273,281,67,487,287,Normal,9111.77
INV000106,2025-12-24,1986,63,WH002,996,322,122,1196,231,Overstock,13383.24
INV000107,2025-10-10,57,283,WH027,95,115,29,181,168,Normal,10304.33
INV000108,2025-11-28,631,256,WH046,298,260,139,419,156,Normal,21121.79
INV000109,2025-08-30,999,234,WH036,148,196,97,247,285,Low Stock,9079.72
INV000110,2025-03-11,286,142,WH050,808,212,174,846,289,Normal,40345.74
INV000111,2025-05-17,11,145,WH047,305,300,296,309,218,Normal,9393.6
INV000112,2025-03-18,1830,276,WH031,353,170,282,241,245,Low Stock,8078.32
INV000113,2025-08-22,1319,97,WH045,244,292,196,340,109,Normal,17561.0
INV000114,2025-07-30,179,163,WH048,484,361,195,650,148,Overstock,38564.5
INV000115,2025-11-30,624,254,WH003,129,257,169,217,272,Low Stock,1696.94
INV000116,2025-08-14,409,270,WH030,15,369,73,311,154,Normal,16330.61
INV000117,2025-03-21,307,241,WH017,346,319,203,462,216,Normal,3076.92
INV000118,2025-06-18,2186,195,WH021,641,367,249,759,273,Normal,25335.42
INV000119,2025-11-13,281,121,WH041,700,147,116,731,241,Normal,5292.44
INV000120,2025-02-20,412,228,WH011,710,153,14,849,61,Overstock,17667.69
INV000121,2025-01-29,1202,184,WH024,441,74,125,390,185,Normal,10101.0
INV000122,2025-12-16,738,88,WH012,80,312,195,197,208,Low Stock,8199.14
INV000123,2025-09-12,2389,74,WH015,472,326,130,668,167,Normal,11229.08
INV000124,2025-01-05,1906,148,WH044,559,80,37,602,163,Normal,34205.64
INV000125,2025-10-28,1226,218,WH045,256,233,154,335,100,Normal,20086.6
INV000126,2025-09-05,437,122,WH025,585,183,294,474,125,Normal,28240.92
INV000127,2025-06-01,90,203,WH018,8,289,25,272,283,Low Stock,10110.24
INV000128,2025-09-12,1173,118,WH039,821,180,112,889,212,Overstock,11583.67
INV000129,2025-05-09,561,50,WH041,661,20,158,523,251,Normal,14419.11
INV000130,2025-10-24,1495,68,WH006,931,151,167,915,241,Normal,23881.5
INV000131,2025-04-13,542,277,WH024,543,256,139,660,262,Normal,7616.4
INV000132,2025-09-04,1209,174,WH008,479,38,72,445,243,Normal,25836.7
INV000133,2025-12-13,1628,286,WH024,92,202,7,287,117,Normal,9505.44
INV000134,2025-08-21,1510,135,WH038,390,326,190,526,77,Overstock,21639.64
INV000135,2025-08-30,103,288,WH021,937,312,113,1136,215,Overstock,6441.12
INV000136,2025-08-26,1238,210,WH008,143,23,9,157,127,Normal,9382.32
INV000137,2025-03-01,399,121,WH035,138,198,232,104,144,Low Stock,4252.56
INV000138,2025-12-23,2213,215,WH038,760,372,79,1053,276,Normal,27441.18
INV000139,2025-02-20,2005,209,WH018,33,353,189,197,105,Normal,5460.84
INV000140,2025-05-01,1486,51,WH044,376,278,183,471,65,Overstock,11817.39
INV000141,2025-04-08,501,233,WH006,678,108,10,776,62,Overstock,36960.88
INV000142,2025-05-05,516,290,WH014,70,391,283,178,103,Normal,6409.78
INV000143,2025-04-30,1346,76,WH039,2,141,37,106,83,Normal,3532.98
INV000144,2025-03-31,451,14,WH009,15,183,60,138,200,Low Stock,2867.64
INV000145,2025-03-31,1087,27,WH009,759,215,269,705,79,Overstock,31901.25
INV000146,2025-09-01,1837,186,WH033,607,55,231,431,178,Normal,6400.35
INV000147,2025-11-11,178,267,WH020,469,329,15,783,65,Overstock,46917.36
INV000148,2025-07-25,1747,56,WH032,729,227,37,919,280,Normal,6148.11
INV000149,2025-11-08,608,34,WH009,281,319,299,301,190,Normal,13033.3
INV000150,2025-07-15,2447,272,WH019,464,258,220,502,75,Overstock,24096.0
INV000151,2025-02-28,2259,111,WH028,462,116,211,367,136,Normal,18346.33
INV000152,2025-07-24,1704,49,WH021,437,160,130,467,145,Normal,26763.77
INV000153,2025-12-18,1943,35,WH006,851,43,47,847,160,Overstock,6437.2
INV000154,2025-07-10,533,285,WH004,600,287,287,600,134,Overstock,24516.0
INV000155,2025-07-30,1449,217,WH047,52,147,153,46,129,Low Stock,1030.4
INV000156,2025-10-23,2079,109,WH010,672,246,114,804,266,Normal,6657.12
INV000157,2025-10-12,1506,59,WH049,285,293,115,463,256,Normal,12450.07
INV000158,2025-10-15,2281,14,WH039,951,336,136,1151,57,Overstock,14341.46
INV000159,2025-12-26,1266,174,WH023,6,92,18,80,194,Low Stock,3210.4
INV000160,2025-02-05,582,16,WH006,764,271,110,925,146,Overstock,24373.75
INV000161,2025-06-24,645,190,WH020,738,166,290,614,202,Normal,4255.02
INV000162,2025-01-27,638,81,WH049,632,25,41,616,119,Overstock,17063.2
INV000163,2025-08-06,1990,227,WH027,279,110,262,127,79,Normal,2796.54
INV000164,2025-02-26,1161,250,WH034,683,157,23,817,106,Overstock,20367.81
INV000165,2025-11-03,225,4,WH014,308,108,70,346,245,Normal,5819.72
INV000166,2025-06-17,492,4,WH032,764,220,89,895,83,Overstock,21524.75
INV000167,2025-12-27,943,257,WH036,853,342,181,1014,68,Overstock,25380.42
INV000168,2025-01-22,1787,10,WH030,943,39,160,822,197,Overstock,22111.8
INV000169,2025-07-27,1711,149,WH008,414,10,166,258,93,Normal,12507.84
INV000170,2025-11-13,1885,186,WH006,447,54,124,377,161,Normal,13628.55
INV000171,2025-09-26,323,203,WH020,763,173,113,823,135,Overstock,38837.37
INV000172,2025-02-09,2091,59,WH034,522,99,178,443,139,Normal,19576.17
INV000173,2025-11-27,605,121,WH007,149,131,101,179,94,Normal,6612.26
INV000174,2025-12-02,309,91,WH050,643,252,237,658,243,Normal,22832.6
INV000175,2025-10-24,1839,290,WH042,650,319,165,804,271,Normal,46889.28
INV000176,2025-06-11,619,226,WH005,480,226,155,551,253,Normal,9879.43
INV000177,2025-01-29,1442,260,WH005,317,236,231,322,59,Overstock,1706.6
INV000178,2025-05-27,315,47,WH040,608,259,196,671,168,Normal,23927.86
INV000179,2025-01-22,1843,293,WH042,192,164,243,113,178,Low Stock,1214.75
INV000180,2025-02-01,1846,53,WH022,731,43,258,516,215,Normal,6197.16
INV000181,2025-05-07,1794,225,WH034,535,312,81,766,143,Overstock,18100.58
INV000182,2025-05-25,1587,210,WH050,346,347,26,667,252,Normal,25739.53
INV000183,2025-06-21,270,169,WH007,571,347,197,721,122,Overstock,11983.02
INV000184,2025-12-03,2469,77,WH022,83,298,72,309,284,Normal,6887.61
INV000185,2025-12-02,1606,67,WH039,725,43,158,610,193,Normal,14548.5
INV000186,2025-06-18,524,270,WH006,661,343,216,788,180,Overstock,18116.12
INV000187,2025-07-05,1266,93,WH014,349,392,248,493,99,Overstock,7464.02
INV000188,2025-03-12,635,40,WH019,864,51,259,656,247,Normal,21851.36
INV000189,2025-09-27,155,173,WH050,632,67,192,507,89,Overstock,5784.87
INV000190,2025-12-21,679,225,WH003,420,186,121,485,298,Normal,13463.6
INV000191,2025-05-26,1839,120,WH035,244,158,240,162,281,Low Stock,8171.28
INV000192,2025-07-08,2337,226,WH030,787,144,195,736,178,Overstock,23986.24
INV000193,2025-03-24,818,71,WH017,53,328,246,135,273,Low Stock,3176.55
INV000194,2025-02-22,2114,64,WH019,85,390,82,393,119,Normal,11027.58
INV000195,2025-09-20,604,224,WH006,969,113,230,852,276,Normal,18982.56
INV000196,2025-01-14,1700,28,WH026,514,191,120,585,148,Normal,34912.8
INV000197,2025-07-11,920,15,WH021,953,50,171,832,252,Normal,8711.04
INV000198,2025-01-20,1176,242,WH045,851,71,240,682,164,Overstock,25704.58
INV000199,2025-02-10,78,132,WH014,855,76,280,651,290,Normal,28761.18
INV000200,2025-09-28,1734,57,WH050,295,121,154,262,81,Normal,1249.74
INV000201,2025-08-03,1873,33,WH008,856,255,274,837,54,Overstock,32350.05
INV000202,2025-10-22,991,74,WH019,439,0,180,259,111,Normal,9090.9
INV000203,2025-04-06,351,269,WH024,69,269,278,60,179,Low Stock,2856.6
INV000204,2025-09-17,2270,11,WH025,894,240,22,1112,212,Overstock,27177.28
INV000205,2025-07-11,1039,9,WH023,807,34,176,665,111,Overstock,29599.15
INV000206,2025-11-18,425,298,WH048,774,170,68,876,61,Overstock,19648.68
INV000207,2025-06-23,718,238,WH045,490,323,93,720,257,Normal,7070.4
INV000208,2025-08-23,152,151,WH013,44,102,10,136,130,Normal,7635.04
INV000209,2025-09-21,1632,279,WH031,259,18,97,180,123,Normal,4086.0
INV000210,2025-01-25,1360,140,WH008,818,188,223,783,277,Normal,19731.6
INV000211,2025-08-14,1584,174,WH012,508,354,254,608,144,Overstock,33810.88
INV000212,2025-09-23,1093,43,WH047,434,40,220,254,204,Normal,15168.88
INV000213,2025-04-03,2235,151,WH021,105,40,83,62,219,Low Stock,1187.3
INV000214,2025-08-17,2469,219,WH011,706,227,179,754,164,Overstock,3362.84
INV000215,2025-06-30,1782,141,WH041,810,29,38,801,221,Normal,31222.98
INV000216,2025-07-06,2102,82,WH002,146,311,224,233,58,Overstock,2171.56
INV000217,2025-05-01,1501,186,WH025,972,290,16,1246,204,Overstock,13581.4
INV000218,2025-08-19,1520,191,WH029,781,39,293,527,85,Overstock,17238.17
INV000219,2025-07-23,1288,143,WH016,983,58,13,1028,238,Overstock,13148.12
INV000220,2025-09-23,1586,288,WH008,268,396,133,531,230,Normal,14804.28
INV000221,2025-11-10,1170,252,WH013,125,69,18,176,165,Normal,2113.76
INV000222,2025-08-16,360,164,WH043,355,363,33,685,190,Normal,22913.25
INV000223,2025-06-03,646,90,WH024,520,114,62,572,101,Overstock,27421.68
INV000224,2025-05-02,2024,14,WH024,567,293,188,672,169,Normal,32665.92
INV000225,2025-10-10,532,45,WH005,316,203,245,274,184,Normal,7077.42
INV000226,2025-07-29,2355,38,WH009,995,162,37,1120,165,Overstock,32502.4
INV000227,2025-09-22,1412,66,WH050,564,327,300,591,96,Overstock,27499.23
INV000228,2025-03-08,1773,258,WH004,851,63,265,649,89,Overstock,12746.36
INV000229,2025-03-24,1322,116,WH023,970,265,145,1090,266,Overstock,7161.3
INV000230,2025-04-11,2257,141,WH009,640,155,273,522,73,Overstock,16260.3
INV000231,2025-03-28,2425,298,WH010,175,337,172,340,265,Normal,18900.6
INV000232,2025-01-22,117,42,WH003,971,328,295,1004,117,Overstock,39929.08
INV000233,2025-10-20,1707,16,WH032,910,321,279,952,124,Overstock,37346.96
INV000234,2025-06-04,1979,126,WH044,415,152,232,335,68,Overstock,14049.9
INV000235,2025-03-22,1801,213,WH031,475,104,174,405,205,Normal,4183.65
INV000236,2025-06-13,1415,205,WH009,778,189,263,704,193,Normal,5744.64
INV000237,2025-05-04,1911,63,WH018,460,126,72,514,74,Overstock,2539.16
INV000238,2025-07-16,1713,128,WH011,833,167,295,705,234,Normal,14198.7
INV000239,2025-03-23,2041,264,WH030,510,157,254,413,55,Overstock,2981.86
INV000240,2025-07-21,2071,235,WH016,220,298,180,338,62,Overstock,1666.34
INV000241,2025-09-11,2448,241,WH019,549,4,55,498,160,Normal,4865.46
INV000242,2025-05-16,1499,207,WH024,46,205,13,238,195,Normal,8232.42
INV000243,2025-07-05,2267,148,WH005,395,258,230,423,245,Normal,14335.47
INV000244,2025-11-16,487,66,WH007,403,191,173,421,192,Normal,23769.66
INV000245,2025-03-15,816,261,WH026,512,20,23,509,59,Overstock,5064.55
INV000246,2025-06-20,1941,266,WH030,152,310,263,199,85,Normal,4182.98
INV000247,2025-11-10,1305,84,WH026,631,378,153,856,201,Overstock,18412.56
INV000248,2025-09-18,2181,251,WH046,576,153,243,486,258,Normal,1438.56
INV000249,2025-06-19,449,214,WH038,315,371,13,673,202,Normal,19873.69
INV000250,2025-12-02,2370,296,WH015,738,26,298,466,172,Normal,5540.74
INV000251,2025-11-19,1558,76,WH044,248,16,56,208,98,Normal,644.8
INV000252,2025-06-10,1716,78,WH027,707,104,210,601,178,Normal,28216.95
INV000253,2025-08-30,256,71,WH034,212,287,166,333,219,Normal,9906.75
INV000254,2025-07-12,1286,89,WH030,934,272,175,1031,189,Overstock,23249.05
INV000255,2025-12-15,1083,248,WH013,980,126,142,964,192,Overstock,18614.84
INV000256,2025-06-02,1184,107,WH045,721,250,162,809,172,Overstock,17984.07
INV000257,2025-05-21,1179,63,WH037,692,278,194,776,279,Normal,45667.6
INV000258,2025-06-26,600,149,WH003,294,365,40,619,138,Overstock,34410.21
INV000259,2025-12-02,1051,246,WH014,206,275,138,343,288,Normal,11867.8
INV000260,2025-05-20,563,56,WH040,758,300,122,936,112,Overstock,4623.84
INV000261,2025-09-29,925,120,WH004,102,211,169,144,233,Low Stock,4233.6
INV000262,2025-12-15,564,3,WH036,951,80,208,823,217,Normal,46277.29
INV000263,2025-09-01,1956,103,WH049,987,147,164,970,123,Overstock,38276.2
INV000264,2025-02-15,2352,119,WH035,756,370,19,1107,283,Normal,61383.15
INV000265,2025-08-02,721,19,WH026,806,253,95,964,289,Normal,43804.16
INV000266,2025-05-29,154,5,WH020,581,308,54,835,287,Normal,49273.35
INV000267,2025-05-26,1862,279,WH034,505,68,258,315,169,Normal,5613.3
INV000268,2025-02-27,1355,84,WH047,469,331,131,669,233,Normal,8563.2
INV000269,2025-06-22,1209,291,WH044,775,98,89,784,206,Normal,40501.44
INV000270,2025-07-27,1752,264,WH021,88,205,48,245,97,Normal,14440.3
INV000271,2025-09-02,1326,128,WH001,267,196,120,343,164,Normal,15681.96
INV000272,2025-06-18,1237,299,WH047,586,5,133,458,217,Normal,10465.3
INV000273,2025-05-01,255,61,WH030,314,81,207,188,225,Low Stock,5856.2
INV000274,2025-12-27,1274,61,WH041,938,151,188,901,207,Overstock,13343.81
INV000275,2025-03-10,1959,79,WH030,765,310,191,884,156,Overstock,37755.64
INV000276,2025-08-30,2202,112,WH049,253,348,41,560,184,Normal,15629.6
INV000277,2025-12-27,1482,40,WH037,114,31,140,5,281,Low Stock,156.6
INV000278,2025-10-21,2199,77,WH011,335,266,226,375,79,Overstock,15547.5
INV000279,2025-10-26,2003,47,WH033,456,28,232,252,83,Normal,8006.04
INV000280,2025-08-22,2310,30,WH036,473,344,157,660,235,Normal,2151.6
INV000281,2025-05-11,13,112,WH038,74,23,54,43,138,Low Stock,1832.66
INV000282,2025-10-05,247,36,WH031,32,146,104,74,96,Low Stock,3448.4
INV000283,2025-11-25,1722,192,WH025,459,193,192,460,70,Overstock,19136.0
INV000284,2025-12-05,2209,69,WH042,880,178,60,998,95,Overstock,59470.82
INV000285,2025-07-21,2167,66,WH047,228,1,193,36,55,Low Stock,2115.0
INV000286,2025-08-26,2231,218,WH035,388,117,126,379,167,Normal,8368.32
INV000287,2025-05-22,773,58,WH003,828,338,214,952,207,Overstock,44201.36
INV000288,2025-01-09,986,106,WH005,103,304,17,390,164,Normal,14301.3
INV000289,2025-12-27,200,126,WH048,45,205,112,138,109,Normal,4596.78
INV000290,2025-01-29,574,258,WH019,239,374,294,319,131,Normal,11321.31
INV000291,2025-12-11,1314,122,WH020,897,73,266,704,106,Overstock,18296.96
INV000292,2025-05-21,250,286,WH038,900,376,89,1187,210,Overstock,49106.19
INV000293,2025-10-12,2031,25,WH023,964,329,195,1098,251,Overstock,35597.16
INV000294,2025-12-23,1706,210,WH010,307,192,94,405,243,Normal,13446.0
INV000295,2025-05-04,924,154,WH046,147,237,29,355,193,Normal,9208.7
INV000296,2025-08-02,2283,272,WH009,397,124,130,391,102,Normal,8273.56
INV000297,2025-02-10,1843,190,WH006,548,370,97,821,63,Overstock,14424.97
INV000298,2025-12-11,2478,21,WH005,192,389,300,281,235,Normal,11504.14
INV000299,2025-04-22,1964,107,WH022,310,7,108,209,289,Low Stock,2721.18
INV000300,2025-03-02,1962,125,WH045,618,360,104,874,151,Overstock,48139.92
INV000301,2025-10-10,1318,145,WH025,477,273,183,567,128,Overstock,9735.39
INV000302,2025-09-20,2037,239,WH007,822,369,240,951,244,Normal,48215.7
INV000303,2025-04-15,1519,161,WH027,46,288,113,221,239,Low Stock,2311.66
INV000304,2025-05-14,2267,300,WH038,737,213,151,799,89,Overstock,10690.62
INV000305,2025-04-28,1556,292,WH016,511,281,172,620,115,Overstock,28687.4
INV000306,2025-09-08,2010,236,WH011,750,180,86,844,85,Overstock,36950.32
INV000307,2025-09-08,754,278,WH042,980,30,268,742,58,Overstock,37597.14
INV000308,2025-02-08,199,4,WH027,140,322,118,344,67,Overstock,14798.88
INV000309,2025-01-05,896,259,WH030,382,30,247,165,218,Low Stock,4999.5
INV000310,2025-01-04,2180,283,WH027,12,8,16,4,234,Low Stock,71.72
INV000311,2025-05-27,71,258,WH045,690,220,91,819,77,Overstock,45249.75
INV000312,2025-09-26,610,124,WH013,634,269,129,774,258,Normal,17461.44
INV000313,2025-07-23,324,192,WH026,470,289,124,635,228,Normal,9588.5
INV000314,2025-12-17,331,17,WH006,415,194,193,416,191,Normal,12317.76
INV000315,2025-11-23,39,88,WH006,511,222,169,564,194,Normal,33101.16
INV000316,2025-02-18,2164,22,WH015,216,354,290,280,171,Normal,4961.6
INV000317,2025-02-08,1149,279,WH037,673,16,91,598,287,Normal,30689.36
INV000318,2025-01-09,849,74,WH049,840,364,203,1001,287,Normal,6466.46
INV000319,2025-03-25,2310,124,WH037,854,199,276,777,134,Overstock,18850.02
INV000320,2025-03-13,322,257,WH048,997,177,27,1147,75,Overstock,31370.45
INV000321,2025-02-08,1396,204,WH050,334,15,139,210,250,Low Stock,12509.7
INV000322,2025-09-09,935,183,WH036,963,192,221,934,97,Overstock,38686.28
INV000323,2025-12-05,1557,44,WH050,633,151,126,658,232,Normal,4119.08
INV000324,2025-05-18,632,195,WH046,802,324,78,1048,239,Overstock,25780.8
INV000325,2025-07-04,437,47,WH001,965,157,227,895,142,Overstock,41313.2
INV000326,2025-02-22,543,45,WH012,441,229,285,385,192,Normal,12212.2
INV000327,2025-02-22,108,46,WH023,567,47,166,448,271,Normal,10904.32
INV000328,2025-05-30,1695,199,WH050,86,371,286,171,281,Low Stock,10188.18
INV000329,2025-05-05,2343,267,WH011,701,194,86,809,85,Overstock,14238.4
INV000330,2025-05-18,2020,75,WH005,171,222,141,252,157,Normal,4886.28
INV000331,2025-02-09,1480,129,WH016,738,320,253,805,202,Normal,30404.85
INV000332,2025-08-23,439,70,WH020,6,202,85,123,265,Low Stock,4670.31
INV000333,2025-06-18,1804,172,WH028,835,333,69,1099,126,Overstock,22639.4
INV000334,2025-12-22,823,246,WH021,181,203,163,221,124,Normal,9861.02
INV000335,2025-11-21,2012,295,WH016,333,192,143,382,259,Normal,18175.56
INV000336,2025-07-06,467,289,WH013,606,279,92,793,224,Normal,36890.36
INV000337,2025-01-14,1891,108,WH029,816,149,35,930,259,Normal,47588.1
INV000338,2025-07-29,2046,72,WH041,310,123,129,304,218,Normal,3325.76
INV000339,2025-08-05,1545,38,WH029,612,245,298,559,152,Normal,18441.41
INV000340,2025-12-21,1714,279,WH003,809,184,274,719,202,Normal,28048.19
INV000341,2025-02-13,448,128,WH043,680,181,85,776,215,Normal,29131.04
INV000342,2025-10-16,1637,170,WH028,108,5,12,101,116,Low Stock,1502.88
INV000343,2025-09-23,2286,298,WH045,589,113,228,474,145,Normal,11703.06
INV000344,2025-12-14,2411,257,WH010,353,12,247,118,76,Normal,2258.52
