ProductID,Category,UnitCost,UnitPrice
79,Dairy,3.24,5.96
80,Snacks,32.54,63.35
81,Produce,59.22,80.29
82,Bakery,3.62,4.96
83,Bakery,46.29,67.62
84,Produce,50.38,62.91
85,Household,54.07,93.54
86,Produce,49.97,95.07
87,Dairy,32.85,53.18
88,Beverages,52.62,95.83
89,Beverages,47.01,62.05
90,Dairy,29.46,52.44
91,Beverages,20.91,33.76
92,Personal Care,47.49,61.02
93,Beverages,16.41,23.33
94,Snacks,31.45,51.87
95,Snacks,27.71,46.83
96,Bakery,42.18,65.88
97,Personal Care,31.45,43.97
98,Frozen,55.52,106.28
99,Bakery,50.72,66.43
100,Snacks,24.76,35.97
101,Bakery,26.84,36.77
102,Frozen,47.47,91.03
103,Dairy,56.49,96.87
104,Household,10.29,19.62
105,Personal Care,14.74,28.92
106,Produce,53.33,70.94
107,Bakery,11.37,17.57
108,Produce,21.67,29.4
109,Household,7.35,10.97
110,Household,34.13,52.98
111,Beverages,24.29,39.2
112,Frozen,31.71,39.68
113,Bakery,58.36,74.92
114,Frozen,17.77,34.2
115,Dairy,17.69,23.06
116,Produce,51.28,89.27
117,Frozen,25.54,41.61
118,Personal Care,42.62,54.19
119,Beverages,48.38,65.15
120,Snacks,17.6,21.36
121,Snacks,48.49,61.44
122,Bakery,5.86,11.08
123,Personal Care,2.67,5.33
124,Produce,55.75,78.85
125,Dairy,4.51,7.97
126,Snacks,58.21,82.05
127,Dairy,13.7,19.86
128,Frozen,32.8,44.76
129,Personal Care,31.01,41.63
130,Household,48.61,97.01
131,Beverages,2.89,5.16
132,Bakery,31.83,44.45
133,Personal Care,8.16,15.14
134,Produce,40.08,65.6
135,Produce,58.28,84.29
136,Bakery,58.98,86.95
137,Dairy,25.47,37.65
138,Beverages,50.55,61.24
139,Frozen,26.98,33.57
140,Produce,52.49,91.15
141,Frozen,36.73,64.43
142,Beverages,28.65,37.99
143,Personal Care,2.21,3.3
144,Household,58.41,95.66
145,Bakery,4.0,7.62
146,Bakery,22.68,27.24
147,Produce,6.87,9.78
148,Bakery,16.39,29.85
149,Snacks,17.32,22.03
150,Produce,36.03,54.59
151,Frozen,19.65,27.24
152,Dairy,40.14,71.16
153,Produce,46.33,82.31
154,Personal Care,10.67,18.99
155,Dairy,4.54,8.48
156,Produce,44.56,82.43
157,Dairy,54.77,98.71
158,Beverages,49.93,83.25
159,Bakery,6.94,8.56
160,Household,57.65,86.55
161,Personal Care,34.39,58.54
162,Bakery,30.38,36.54
163,Snacks,45.4,72.75
164,Snacks,40.24,50.41
165,Personal Care,16.63,20.95
166,Frozen,15.62,28.2
167,Bakery,44.91,88.95
168,Personal Care,51.04,64.38
169,Frozen,46.48,78.72
170,Bakery,6.49,8.55
171,Frozen,39.79,69.8
172,Dairy,2.72,3.4
173,Frozen,58.41,74.74
174,Bakery,41.19,59.01
175,Frozen,28.95,45.54
176,Snacks,59.61,97.72
177,Frozen,58.73,114.46
178,Beverages,18.8,23.71
179,Personal Care,59.65,90.04
180,Bakery,6.33,8.05
181,Frozen,57.26,74.79
182,Frozen,53.44,94.2
183,Bakery,30.88,58.7
184,Produce,3.44,4.14
185,Personal Care,41.53,63.31
186,Dairy,26.14,39.23
187,Snacks,50.73,60.95
188,Household,50.67,65.67
189,Bakery,43.36,83.31
190,Frozen,16.69,20.9
191,Produce,59.93,100.16
192,Household,55.67,100.46
193,Beverages,18.28,22.69
194,Frozen,38.83,51.22
195,Frozen,27.3,39.65
196,Household,47.54,73.32
197,Beverages,49.09,83.68
198,Bakery,43.74,54.22
199,Produce,28.15,50.73
200,Frozen,30.16,58.19
201,Dairy,11.9,18.23
202,Frozen,19.27,34.52
203,Frozen,25.56,35.55
204,Personal Care,34.32,52.01
205,Dairy,39.31,49.54
206,Personal Care,33.92,53.0
207,Household,59.8,93.29
208,Dairy,33.77,47.12
209,Dairy,21.83,27.79
210,Bakery,23.36,43.16
211,Bakery,53.46,96.21
212,Produce,24.2,43.48
213,Bakery,23.86,35.09
214,Beverages,30.89,51.26
215,Household,9.3,14.91
216,Bakery,7.37,14.13
217,Produce,25.19,39.21
218,Frozen,51.22,97.23
219,Beverages,9.38,14.45
220,Personal Care,58.16,92.58
221,Snacks,24.71,47.97
222,Personal Care,58.39,81.67
223,Snacks,14.98,19.8
224,Snacks,56.61,100.62
225,Personal Care,6.93,12.62
226,Beverages,47.37,65.66
227,Beverages,39.44,56.91
228,Dairy,38.34,62.21
229,Produce,42.52,54.84
230,Snacks,19.42,37.96
231,Bakery,24.51,33.8
232,Beverages,2.61,3.76
233,Personal Care,18.16,26.39
234,Bakery,29.57,41.04
235,Bakery,3.7,5.66
236,Frozen,5.21,7.06
237,Produce,6.7,9.26
238,Produce,55.66,76.89
239,Beverages,42.36,75.17
240,Household,41.59,56.5
241,Frozen,44.87,71.97
242,Bakery,30.75,41.83
243,Bakery,15.39,21.19
244,Frozen,8.32,14.13
245,Dairy,54.0,85.75
246,Beverages,57.03,75.11
247,Produce,5.15,6.28
248,Dairy,26.09,46.12
249,Dairy,24.81,47.6
250,Household,44.5,88.91
251,Dairy,21.1,28.45
252,Personal Care,3.85,6.67
253,Produce,50.67,100.73
254,Personal Care,11.82,14.21
255,Frozen,6.68,10.26
256,Snacks,34.55,62.43
257,Produce,22.68,42.12
258,Produce,7.09,12.51
259,Bakery,23.62,45.72
260,Bakery,20.75,37.14
261,Personal Care,3.76,5.75
262,Produce,4.36,5.35
263,Snacks,48.59,60.72
264,Bakery,45.34,87.0
265,Household,23.05,33.84
266,Beverages,17.21,30.52
267,Household,55.61,79.96
268,Snacks,3.41,4.73
269,Personal Care,43.5,68.41
270,Produce,47.81,92.31
271,Personal Care,9.7,15.49
272,Beverages,48.55,86.94
273,Dairy,37.22,54.42
274,Household,28.73,52.49
275,Snacks,31.69,47.96
276,Dairy,16.34,20.45
277,Beverages,29.94,48.97
278,Dairy,58.85,112.21
279,Snacks,17.36,22.0
280,Snacks,26.42,52.6
281,Personal Care,12.05,15.74
282,Personal Care,37.98,66.06
283,Snacks,47.23,67.78
284,Frozen,34.88,52.26
285,Frozen,13.55,18.94
286,Bakery,15.66,22.32
287,Bakery,20.93,31.75
288,Bakery,31.42,43.52
289,Snacks,39.89,79.49
290,Snacks,2.26,4.31
291,Bakery,50.75,98.02
292,Beverages,52.86,73.28
293,Beverages,13.0,25.72
294,Bakery,55.95,83.8
295,Dairy,28.05,39.49
296,Beverages,8.14,13.65
297,Household,14.62,21.86
298,Dairy,4.56,9.12
299,Beverages,36.77,63.29
300,Bakery,49.26,91.38
301,Produce,41.34,55.73
302,Frozen,6.52,7.99
303,Personal Care,33.79,42.26
304,Snacks,48.16,83.38
305,Dairy,39.07,49.73
306,Dairy,25.07,35.52
307,Frozen,40.73,62.49
308,Beverages,20.12,33.26
309,Household,26.02,31.6
310,Household,39.38,59.57
311,Produce,13.81,16.64
312,Dairy,26.58,49.34
313,Produce,35.51,52.97
314,Dairy,9.54,11.84
315,Dairy,39.16,75.49
316,Snacks,35.23,68.41
317,Dairy,10.46,14.92
318,Dairy,55.68,71.66
319,Personal Care,45.71,83.82
320,Bakery,19.49,36.44
321,Beverages,58.58,92.92
322,Beverages,37.24,63.65
323,Snacks,54.44,92.35
324,Dairy,39.14,73.79
325,Produce,37.65,51.09
326,Personal Care,12.61,17.33
327,Produce,56.44,74.79
328,Household,9.14,12.77
329,Bakery,4.38,7.23
330,Beverages,40.74,59.45
331,Produce,36.77,60.3
332,Frozen,39.64,57.34
333,Bakery,26.69,46.1
334,Personal Care,31.21,41.92
335,Beverages,37.9,60.32
336,Bakery,27.92,47.32
337,Personal Care,50.52,93.38
338,Produce,8.21,10.7
339,Produce,23.19,42.71
340,Beverages,4.36,5.69
341,Household,47.1,75.79
342,Beverages,45.62,87.4
343,Dairy,3.5,4.39
344,Snacks,13.24,26.29
345,Personal Care,18.7,34.57
346,Dairy,41.8,74.27
347,Bakery,5.8,8.59
348,Frozen,11.21,21.49
349,Frozen,54.49,85.28
350,Frozen,31.13,60.27
351,Bakery,36.33,61.5
352,Bakery,20.51,25.22
353,Dairy,25.4,43.42
354,Frozen,41.42,79.37
355,Dairy,47.94,67.67
356,Beverages,38.91,57.89
357,Personal Care,34.2,56.91
358,Snacks,16.62,27.07
359,Produce,44.8,67.07
360,Produce,59.45,98.8
361,Household,21.19,26.81
362,Bakery,12.25,21.99
363,Beverages,19.19,30.95
364,Frozen,39.08,77.66
365,Household,44.52,80.03
366,Bakery,10.66,18.05
367,Produce,26.23,39.12
368,Beverages,9.66,13.35
369,Beverages,3.29,3.95
370,Household,19.62,31.75
371,Bakery,25.97,37.42
372,Dairy,13.84,23.52
373,Personal Care,11.2,13.57
374,Bakery,43.03,67.16
375,Snacks,39.02,74.02
376,Frozen,25.31,35.72
377,Beverages,5.26,9.77
378,Household,36.49,60.67
379,Personal Care,16.41,31.55
380,Beverages,5.57,6.8
381,Dairy,15.78,19.67
382,Snacks,2.72,4.46
383,Bakery,10.25,13.94
384,Produce,49.18,65.89
385,Frozen,5.7,9.69
386,Personal Care,43.49,52.41
387,Produce,45.22,71.1
388,Personal Care,12.17,24.31
389,Frozen,15.47,19.04
390,Household,53.69,104.17
391,Frozen,43.28,61.15
392,Produce,41.77,80.78
393,Frozen,19.15,37.21
394,Bakery,6.95,11.16
395,Dairy,17.1,23.75
396,Bakery,56.79,102.05
397,Household,13.13,19.84
398,Bakery,24.01,45.18
399,Personal Care,29.38,47.73
400,Beverages,51.74,80.19
401,Bakery,35.08,50.73
402,Bakery,24.71,41.22
403,Dairy,10.39,12.69
404,Snacks,38.07,50.61
405,Dairy,42.64,52.22
406,Dairy,42.17,71.99
407,Snacks,44.73,56.03
408,Household,13.56,26.63
409,Snacks,53.02,95.68
410,Produce,8.21,11.2
411,Snacks,3.96,7.76
412,Snacks,49.85,85.01
413,Frozen,29.67,38.75
414,Bakery,19.08,28.03
415,Frozen,3.21,4.51
416,Frozen,4.81,8.7
417,Household,46.62,78.4
418,Personal Care,51.38,87.07
419,Beverages,47.77,58.52
420,Snacks,22.11,39.0
421,Bakery,43.43,80.88
422,Frozen,11.88,14.27
423,Bakery,18.72,33.7
424,Beverages,2.25,3.58
425,Personal Care,42.32,78.73
426,Personal Care,36.37,71.49
427,Frozen,35.52,47.14
428,Bakery,56.42,78.15
429,Dairy,8.38,14.32
430,Snacks,30.44,60.66
431,Snacks,38.42,57.03
432,Produce,55.85,106.87
433,Snacks,26.48,45.46
434,Household,13.95,19.68
435,Dairy,24.0,45.77
436,Bakery,56.75,73.86
437,Beverages,22.21,32.46
438,Dairy,52.34,81.66
439,Household,11.83,18.35
440,Frozen,35.59,46.3
441,Personal Care,39.28,69.02
442,Bakery,17.51,31.58
443,Dairy,43.95,87.01
444,Household,36.97,54.68
445,Bakery,21.03,28.42
446,Snacks,11.55,19.94
447,Bakery,24.29,48.27
448,Frozen,44.53,68.93
449,Bakery,8.34,16.09
450,Frozen,13.97,21.1
451,Beverages,2.73,5.14
452,Produce,42.22,67.57
453,Frozen,28.87,37.92
454,Produce,2.32,3.23
455,Produce,42.67,71.26
456,Produce,51.07,88.57
457,Bakery,41.42,70.96
458,Personal Care,27.09,38.14
459,Snacks,53.9,75.13
460,Produce,43.36,73.87
461,Frozen,51.27,81.32
462,Beverages,38.05,58.12
463,Dairy,53.88,78.8
464,Beverages,24.55,39.08
465,Snacks,4.21,6.88
466,Dairy,43.54,85.38
467,Bakery,32.11,41.13
468,Personal Care,33.38,59.21
469,Beverages,39.08,72.81
470,Household,25.8,50.53
471,Bakery,59.44,80.07
472,Snacks,44.29,74.9
473,Beverages,16.64,25.05
474,Beverages,2.77,4.25
475,Produce,38.46,66.92
476,Frozen,8.34,12.03
477,Produce,56.52,91.66
478,Bakery,59.67,117.47
479,Personal Care,14.3,18.64
480,Snacks,48.96,83.6
481,Personal Care,39.25,69.73
482,Dairy,22.48,38.46
483,Produce,29.15,41.84
484,Dairy,47.23,74.41
485,Bakery,17.51,26.28
486,Frozen,59.01,102.86
487,Personal Care,2.16,3.84
488,Frozen,22.76,39.23
489,Household,29.81,45.99
490,Snacks,40.24,59.96
491,Frozen,51.56,64.23
492,Household,47.47,62.3
493,Household,38.72,46.93
494,Beverages,14.17,17.82
495,Frozen,16.5,21.14
496,Dairy,51.54,69.5
497,Personal Care,22.09,29.21
498,Produce,47.92,63.94
499,Snacks,40.77,78.08
500,Frozen,13.45,23.59
501,Snacks,45.03,69.84
502,Snacks,34.19,48.26
503,Bakery,49.97,78.88
504,Beverages,30.09,57.9
505,Personal Care,16.3,21.71
506,Beverages,11.3,16.46
507,Personal Care,40.59,76.0
508,Household,26.7,53.4
509,Snacks,12.47,18.56
510,Beverages,3.19,3.95
511,Household,48.9,62.36
512,Personal Care,30.11,57.75
513,Beverages,14.37,22.02
514,Dairy,21.64,40.89
515,Household,21.8,39.74
516,Bakery,18.48,27.23
517,Frozen,34.13,63.53
518,Frozen,22.6,36.05
519,Household,31.22,44.25
520,Household,58.55,100.92
521,Snacks,21.19,30.8
522,Frozen,9.4,18.6
523,Snacks,47.48,58.5
524,Produce,33.63,41.69
525,Frozen,8.29,10.26
526,Personal Care,37.3,64.4
527,Produce,37.77,64.26
528,Snacks,14.33,24.84
529,Personal Care,38.27,51.25
530,Dairy,52.41,80.57
531,Snacks,55.02,94.89
532,Household,52.57,68.92
533,Frozen,34.6,48.66
534,Frozen,12.72,15.61
535,Beverages,26.98,46.23
536,Beverages,30.87,49.94
537,Snacks,46.88,72.05
538,Produce,27.9,33.8
539,Produce,36.44,72.68
540,Dairy,29.58,45.26
541,Snacks,6.81,10.74
542,Dairy,38.36,59.14
543,Beverages,41.66,54.05
544,Snacks,14.66,19.02
545,Personal Care,3.03,5.38
546,Bakery,28.15,50.54
547,Beverages,23.22,41.74
548,Dairy,44.32,56.17
549,Personal Care,28.71,55.87
550,Frozen,54.98,68.29
551,Beverages,2.66,3.22
552,Snacks,24.56,35.61
553,Dairy,57.55,107.5
554,Beverages,20.34,39.85
555,Personal Care,29.25,39.0
556,Snacks,23.07,39.59
557,Produce,29.66,54.05
558,Personal Care,56.81,103.83
559,Household,18.96,23.67
560,Household,52.43,93.36
561,Beverages,50.21,84.4
562,Frozen,35.91,71.14
563,Bakery,23.85,41.69
564,Bakery,48.83,69.66
565,Beverages,20.65,29.21
566,Dairy,36.03,66.76
567,Beverages,18.73,24.58
568,Dairy,17.88,33.63
569,Personal Care,22.12,28.05
570,Personal Care,48.25,65.64
571,Bakery,19.95,24.86
572,Produce,28.99,39.58
573,Frozen,36.01,43.48
574,Produce,28.66,36.4
575,Household,46.79,64.86
576,Frozen,53.34,86.28
577,Personal Care,31.36,42.7
578,Bakery,13.15,17.68
579,Frozen,23.04,38.05
580,Produce,47.22,89.04
581,Bakery,4.59,9.17
582,Household,52.25,78.24
583,Personal Care,47.67,63.16
584,Beverages,22.01,35.56
585,Beverages,7.46,10.17
586,Personal Care,36.03,49.39
587,Frozen,26.71,52.28
588,Dairy,16.73,20.58
589,Bakery,59.69,89.69
590,Beverages,4.96,8.16
591,Personal Care,30.24,56.74
592,Snacks,52.05,89.1
593,Snacks,42.97,54.66
594,Household,34.74,59.49
595,Produce,12.59,23.67
596,Household,58.01,115.64
597,Bakery,11.98,23.4
598,Household,5.44,8.93
599,Beverages,50.56,62.57
600,Personal Care,5.23,6.88
601,Beverages,56.48,98.36
602,Frozen,36.21,56.24
603,Snacks,29.3,43.87
604,Produce,9.2,14.58
605,Dairy,27.6,50.95
606,Beverages,29.14,56.24
607,Beverages,11.1,20.72
608,Snacks,56.17,106.35
609,Dairy,47.14,92.69
610,Produce,50.85,86.58
611,Personal Care,58.39,85.14
612,Bakery,29.7,50.57
613,Dairy,21.25,38.01
614,Dairy,43.4,71.29
615,Dairy,27.46,36.23
616,Produce,25.88,34.28
617,Frozen,35.12,50.48
618,Dairy,17.12,22.04
619,Personal Care,54.38,70.22
620,Beverages,38.6,70.64
621,Bakery,34.48,64.42
622,Snacks,16.95,23.07
623,Household,27.06,38.13
624,Bakery,55.65,71.12
625,Frozen,26.11,34.72
626,Frozen,10.37,17.75
627,Personal Care,48.81,71.88
628,Dairy,27.69,50.72
629,Frozen,12.78,19.79
630,Produce,14.66,24.29
631,Dairy,50.92,82.35
632,Bakery,43.27,58.73
633,Snacks,50.08,95.73
634,Personal Care,46.15,61.85
635,Dairy,37.52,66.27
636,Bakery,35.81,48.77
637,Snacks,42.15,68.1
638,Beverages,32.07,47.4
639,Frozen,50.83,96.15
640,Personal Care,7.24,11.06
641,Personal Care,9.73,16.86
642,Bakery,12.79,23.86
643,Household,4.13,7.28
644,Beverages,22.66,44.09
645,Snacks,9.0,15.95
646,Household,47.19,89.4
647,Beverages,18.91,24.32
648,Personal Care,27.89,34.04
649,Dairy,3.2,6.32
650,Bakery,37.91,50.58
651,Frozen,16.53,30.64
652,Beverages,3.13,6.08
653,Bakery,17.16,32.09
654,Personal Care,32.33,56.97
655,Snacks,22.34,28.49
656,Dairy,4.62,6.0
657,Personal Care,35.98,65.1
658,Snacks,9.08,13.84
659,Dairy,33.41,46.17
660,Bakery,10.54,17.48
661,Produce,11.53,21.46
662,Produce,42.24,70.86
663,Beverages,24.95,48.73
664,Household,21.64,30.13
665,Household,43.5,81.54
666,Household,49.27,92.53
667,Beverages,20.84,27.45
668,Household,16.46,25.31
669,Beverages,23.14,37.59
670,Snacks,20.81,28.31
671,Beverages,15.08,23.17
672,Produce,47.04,91.71
673,Beverages,48.94,93.35
674,Beverages,3.99,6.84
675,Frozen,55.24,93.84
676,Beverages,38.03,53.26
677,Beverages,27.15,53.23
678,Frozen,8.56,12.65
679,Dairy,8.98,15.05
680,Frozen,6.9,11.54
681,Dairy,27.52,44.29
682,Frozen,55.1,91.57
683,Frozen,16.12,20.48
684,Frozen,50.71,85.6
685,Bakery,39.72,54.06
686,Household,28.73,47.07
687,Personal Care,29.2,42.29
688,Bakery,21.35,28.84
689,Produce,58.24,88.36
690,Household,11.41,22.38
691,Household,34.29,54.63
692,Frozen,52.95,72.7
693,Beverages,46.78,62.07
694,Snacks,37.14,54.91
695,Beverages,31.99,59.74
696,Household,44.65,57.48
697,Bakery,59.38,103.45
698,Dairy,26.17,45.39
699,Dairy,41.17,69.7
700,Frozen,49.63,80.11
701,Personal Care,17.58,29.97
702,Dairy,25.96,33.3
703,Produce,46.41,77.44
704,Personal Care,25.05,49.96
705,Dairy,26.24,47.94
706,Snacks,24.01,37.5
707,Personal Care,18.71,27.73
708,Household,24.66,40.55
709,Produce,39.6,47.73
710,Personal Care,24.08,34.68
711,Frozen,48.57,75.21
712,Produce,35.73,45.39
713,Household,20.78,38.96
714,Bakery,57.61,78.55
715,Produce,53.69,105.49
716,Beverages,4.75,7.85
717,Personal Care,19.39,31.59
718,Frozen,33.23,66.42
719,Produce,24.59,36.54
720,Household,28.28,34.17
721,Snacks,32.46,41.52
722,Household,31.05,53.37
723,Dairy,53.03,104.55
724,Personal Care,25.3,45.89
725,Household,42.11,75.68
726,Snacks,11.9,17.31
727,Snacks,49.91,80.36
728,Snacks,40.04,57.49
729,Household,49.59,98.79
730,Produce,38.6,62.5
731,Bakery,31.28,42.24
732,Dairy,5.49,9.07
733,Snacks,22.48,44.85
734,Beverages,42.12,50.91
735,Beverages,19.79,34.68
736,Beverages,55.19,83.78
737,Snacks,36.0,62.44
738,Bakery,12.16,22.07
739,Frozen,52.53,100.67
740,Dairy,35.32,54.0
741,Snacks,10.43,16.84
742,Snacks,3.68,4.64
743,Personal Care,49.74,84.08
744,Beverages,39.71,69.4
745,Household,10.35,14.39
746,Frozen,11.83,16.72
747,Snacks,51.84,101.51
748,Snacks,22.24,34.69
749,Produce,3.13,4.31
750,Produce,35.79,70.42
751,Personal Care,5.17,7.19
752,Bakery,4.55,8.85
753,Dairy,20.26,38.88
754,Personal Care,19.61,32.98
755,Personal Care,58.81,73.75
756,Produce,41.14,68.62
757,Produce,19.93,37.87
758,Personal Care,3.3,6.25
759,Snacks,12.06,17.93
760,Dairy,2.44,4.65
761,Produce,34.57,44.66
762,Produce,21.48,36.97
763,Snacks,26.49,51.14
764,Bakery,24.47,38.51
765,Household,15.76,19.35
766,Beverages,21.8,28.88
767,Dairy,7.37,10.43
768,Dairy,34.19,53.8
769,Bakery,11.23,16.65
770,Produce,23.86,46.93
771,Bakery,19.24,30.41
772,Bakery,15.18,23.71
773,Dairy,56.64,113.19
774,Personal Care,36.08,53.92
775,Bakery,25.44,40.91
776,Dairy,52.6,68.29
777,Snacks,33.47,47.4
778,Produce,3.67,6.51
779,Dairy,20.03,30.28
780,Snacks,42.29,77.01
781,Bakery,20.62,35.68
782,Snacks,5.95,11.49
783,Frozen,13.18,23.39
784,Snacks,15.13,19.68
785,Produce,18.38,27.99
786,Personal Care,46.95,89.5
787,Dairy,56.33,75.54
788,Household,41.42,71.69
789,Household,54.02,65.92
790,Personal Care,16.41,30.81
791,Household,54.55,69.72
792,Frozen,8.68,16.75
793,Bakery,43.33,53.4
794,Beverages,37.29,57.6
795,Frozen,11.06,19.8
796,Frozen,38.51,75.22
797,Bakery,35.07,62.19
798,Frozen,55.69,96.68
799,Household,56.27,72.56
800,Frozen,54.26,103.1
801,Beverages,58.5,102.07
802,Beverages,47.9,65.53
803,Household,45.47,57.7
804,Produce,59.89,101.35
805,Bakery,18.31,23.29
806,Produce,27.67,40.74
807,Personal Care,31.5,54.85
808,Bakery,26.84,43.2
809,Dairy,30.39,41.07
810,Frozen,12.12,16.13
811,Bakery,33.55,46.96
812,Beverages,11.75,17.36
813,Snacks,13.68,19.81
814,Dairy,41.8,66.43
815,Personal Care,15.8,22.02
816,Personal Care,9.72,16.65
817,Frozen,9.74,17.2
818,Bakery,21.35,39.55
819,Produce,46.11,61.57
820,Dairy,36.72,57.61
821,Produce,50.21,64.85
822,Frozen,2.72,4.32
823,Beverages,5.5,7.84
824,Bakery,8.41,12.17
825,Snacks,11.36,17.68
826,Household,18.79,30.93
827,Beverages,2.63,5.24
828,Personal Care,6.87,12.19
829,Frozen,8.31,13.22
830,Produce,30.32,55.4
831,Household,2.48,4.8
832,Frozen,38.41,74.83
833,Frozen,39.88,50.35
834,Beverages,3.47,5.26
835,Dairy,19.19,25.88
836,Dairy,7.93,14.08
837,Frozen,45.05,65.83
838,Dairy,39.54,58.72
839,Bakery,23.37,38.35
840,Household,50.59,70.97
841,Beverages,4.39,7.26
842,Produce,54.5,106.6
843,Personal Care,26.53,47.35
844,Frozen,36.95,62.86
845,Dairy,41.9,55.77
846,Personal Care,38.93,59.22
847,Beverages,51.34,81.3
848,Bakery,43.93,52.81
849,Produce,10.3,12.95
850,Beverages,31.85,48.95
851,Household,5.64,6.81
852,Dairy,54.43,72.48
853,Frozen,2.24,4.13
854,Household,34.92,55.0
855,Household,31.97,49.32
856,Dairy,58.51,115.23
857,Snacks,49.05,61.21
858,Household,37.33,53.67
859,Produce,57.26,90.73
860,Dairy,19.36,28.55
861,Beverages,51.19,70.54
862,Personal Care,42.1,55.47
863,Household,34.18,66.81
864,Household,32.74,54.08
865,Produce,17.14,23.68
866,Bakery,33.79,43.58
867,Frozen,39.68,53.57
868,Frozen,43.13,59.59
869,Personal Care,15.14,25.1
870,Snacks,44.66,86.08
871,Snacks,51.39,89.6
872,Personal Care,9.79,15.69
873,Snacks,38.34,75.46
874,Snacks,28.68,50.15
875,Dairy,58.14,78.68
876,Personal Care,46.95,61.48
877,Beverages,25.45,31.5
878,Beverages,2.88,4.83
879,Bakery,28.66,37.16
880,Dairy,26.71,51.04
881,Bakery,34.65,67.01
882,Household,11.74,21.09
883,Household,48.64,87.01
884,Beverages,49.89,64.77
885,Household,31.76,51.44
886,Household,43.86,54.16
887,Household,7.78,12.75
888,Snacks,3.98,7.67
889,Bakery,16.77,22.72
890,Personal Care,3.23,6.43
891,Personal Care,8.59,10.45
892,Snacks,6.28,8.83
893,Dairy,34.15,48.9
894,Produce,50.5,84.37
895,Frozen,33.23,58.21
896,Frozen,57.03,69.07
897,Household,59.68,94.88
898,Personal Care,52.64,96.88
899,Beverages,6.33,10.74
900,Produce,50.89,100.46
901,Personal Care,24.82,47.12
902,Snacks,22.93,37.21
903,Frozen,53.85,90.0
904,Beverages,14.26,26.46
905,Personal Care,21.22,33.42
906,Household,20.23,29.71
907,Personal Care,21.36,25.98
908,Personal Care,52.82,89.1
909,Dairy,44.16,58.07
910,Produce,17.85,28.56
911,Frozen,22.7,37.66
912,Dairy,59.55,73.09
913,Snacks,52.6,95.7
914,Snacks,23.05,32.85
915,Bakery,52.62,102.66
916,Snacks,19.63,35.54
917,Household,31.52,53.84
918,Household,52.63,93.29
919,Household,5.51,8.1
920,Household,53.25,97.24
921,Household,53.86,99.5
922,Household,10.75,14.67
923,Personal Care,25.49,38.66
924,Frozen,55.91,93.34
925,Dairy,19.49,28.2
926,Household,6.26,8.46
927,Snacks,35.93,51.86
928,Household,59.27,88.05
929,Produce,43.83,84.92
930,Personal Care,20.52,27.5
931,Frozen,33.7,60.89
932,Frozen,15.74,19.14
933,Beverages,25.18,34.25
934,Frozen,52.12,89.57
935,Bakery,16.02,19.95
936,Dairy,36.86,46.57
937,Household,43.7,52.62
938,Frozen,33.14,62.98
939,Household,55.53,76.06
940,Household,52.33,63.93
941,Personal Care,25.51,44.47
942,Household,12.12,22.91
943,Beverages,7.06,11.93
944,Personal Care,59.29,90.1
