ShipmentID,OrderID,ProductID,SupplierID,WarehouseID,StoreID,ShipmentDate,ExpectedDelivery,ActualDelivery,Quantity,Carrier,ShippingCost,TransitDays,DelayDays,Status
SHP000035,81467,2348,281,WH005,189,2025-06-02,2025-06-09,2025-06-09,160,Regional Carrier,854.62,7,0,Delivered
SHP000036,60011,2391,461,WH001,121,2025-10-01,2025-10-08,,128,FedEx,966.58,3,2,In Transit
SHP000037,66112,1850,157,WH033,272,2025-10-23,2025-10-29,2025-10-29,232,Regional Carrier,117.79,6,0,Delivered
SHP000038,66499,2174,7,WH036,71,2025-06-09,2025-06-12,2025-06-12,160,DHL,1140.53,3,0,Delivered
SHP000039,84995,1466,483,WH011,116,2025-06-10,2025-06-16,,179,USPS,1318.95,4,4,In Transit
SHP000040,7258,1151,301,WH032,115,2025-10-28,2025-11-02,2025-11-09,149,DHL,667.36,12,7,Delayed
SHP000041,90396,2268,80,WH022,196,2025-06-09,2025-06-15,2025-06-15,19,FedEx,184.33,6,0,Delivered
SHP000042,12211,2182,466,WH003,159,2025-06-30,2025-07-06,2025-07-06,80,FedEx,964.06,6,0,Delivered
SHP000043,34785,795,324,WH030,229,2025-05-21,2025-05-25,2025-05-26,162,FedEx,1076.07,5,1,Delayed
SHP000044,53813,1733,248,WH014,197,2025-06-11,2025-06-15,2025-06-15,143,UPS,1085.5,4,0,Delivered
SHP000045,36226,166,223,WH006,109,2025-10-22,2025-10-25,2025-10-25,244,UPS,471.79,3,0,Delivered
SHP000046,63832,552,459,WH048,277,2025-04-28,2025-05-02,2025-05-04,128,USPS,1197.65,6,2,Delayed
SHP000047,23241,1478,23,WH007,183,2025-09-30,2025-10-02,2025-10-02,36,Regional Carrier,1263.67,2,0,Delivered
SHP000048,78202,2376,481,WH027,222,2025-09-20,2025-09-22,2025-09-22,62,DHL,546.28,2,0,Delivered
SHP000049,29474,1031,307,WH016,266,2025-08-26,2025-08-30,2025-08-30,235,FedEx,961.03,4,0,Delivered
SHP000050,82939,1041,10,WH034,242,2025-04-03,2025-04-10,2025-04-10,35,Regional Carrier,223.12,7,0,Delivered
SHP000051,30183,2059,74,WH018,188,2025-09-17,2025-09-20,2025-09-20,102,DHL,1445.49,3,0,Delivered
SHP000052,85068,235,101,WH036,115,2025-01-23,2025-01-28,2025-01-28,157,USPS,219.11,5,0,Delivered
SHP000053,81039,1753,466,WH045,194,2025-05-18,2025-05-23,2025-05-23,186,USPS,302.81,5,0,Delivered
SHP000054,7527,2042,32,WH026,17,2025-08-18,2025-08-25,2025-08-27,236,UPS,1080.96,9,2,Delayed
SHP000055,61341,666,351,WH047,136,2025-06-17,2025-06-22,2025-06-25,70,DHL,180.2,8,3,Delayed
SHP000056,18890,1867,445,WH046,132,2025-02-11,2025-02-16,2025-02-17,45,Regional Carrier,72.85,6,1,Delayed
SHP000057,4561,2450,320,WH010,228,2025-06-10,2025-06-13,2025-06-20,130,DHL,1475.5,10,7,Delayed
SHP000058,15970,342,140,WH021,291,2025-06-06,2025-06-09,2025-06-09,54,FedEx,484.27,3,0,Delivered
SHP000059,11284,2046,424,WH014,205,2025-06-30,2025-07-03,2025-07-07,160,USPS,262.76,7,4,Delayed
SHP000060,84541,1757,276,WH015,186,2025-11-15,2025-11-22,2025-11-22,239,Regional Carrier,493.04,7,0,Delivered
SHP000061,97285,370,481,WH011,10,2025-11-02,2025-11-08,2025-11-09,165,UPS,1043.3,7,1,Delayed
SHP000062,34848,1560,461,WH001,134,2025-06-24,2025-06-28,2025-06-28,231,USPS,96.83,4,0,Delivered
SHP000063,71182,1873,267,WH028,6,2025-08-03,2025-08-05,2025-08-05,58,FedEx,399.4,2,0,Delivered
SHP000064,27715,900,425,WH002,208,2025-01-09,2025-01-11,2025-01-11,102,USPS,1423.19,2,0,Delivered
SHP000065,40693,2367,432,WH033,219,2025-11-21,2025-11-25,2025-11-28,238,DHL,1305.93,7,3,Delayed
SHP000066,39598,734,351,WH035,160,2025-03-18,2025-03-23,,7,USPS,490.77,7,1,In Transit
SHP000067,735,1923,260,WH025,285,2025-11-21,2025-11-28,2025-11-28,219,FedEx,379.6,7,0,Delivered
SHP000068,42905,1976,104,WH040,164,2025-09-02,2025-09-05,2025-09-05,17,Regional Carrier,898.58,3,0,Delivered
SHP000069,45952,1216,329,WH004,63,2025-08-01,2025-08-06,2025-08-06,28,FedEx,1172.42,5,0,Delivered
SHP000070,76188,2158,345,WH004,243,2025-06-10,2025-06-15,2025-06-25,75,DHL,1225.44,15,10,Delayed
SHP000071,27166,2369,469,WH043,144,2025-05-14,2025-05-17,2025-05-20,247,Regional Carrier,551.53,6,3,Delayed
SHP000072,79244,184,137,WH010,264,2025-10-26,2025-10-31,2025-11-01,148,UPS,596.56,6,1,Delayed
SHP000073,27470,1808,461,WH020,31,2025-06-27,2025-07-03,2025-07-03,242,USPS,1310.42,6,0,Delivered
SHP000074,59270,520,340,WH029,16,2025-10-02,2025-10-07,2025-10-07,88,Regional Carrier,58.12,5,0,Delivered
SHP000075,26407,1941,231,WH034,105,2025-05-03,2025-05-08,2025-05-08,125,USPS,598.8,5,0,Delivered
SHP000076,88774,925,157,WH008,247,2025-02-28,2025-03-03,2025-03-03,31,Regional Carrier,1134.29,3,0,Delivered
SHP000077,49280,116,337,WH020,63,2025-02-05,2025-02-12,2025-02-12,86,FedEx,1038.35,7,0,Delivered
SHP000078,44416,76,422,WH044,138,2025-08-25,2025-08-29,2025-09-02,171,Regional Carrier,1366.48,8,4,Delayed
SHP000079,41023,2333,180,WH035,64,2025-10-27,2025-10-31,2025-10-31,241,Regional Carrier,111.86,4,0,Delivered
SHP000080,87111,180,81,WH001,123,2025-07-17,2025-07-24,2025-07-24,233,Regional Carrier,646.03,7,0,Delivered
SHP000081,87621,1080,182,WH028,203,2025-09-23,2025-09-26,2025-09-26,23,FedEx,111.74,3,0,Delivered
SHP000082,2364,2170,264,WH019,289,2025-09-26,2025-10-03,2025-10-03,50,USPS,66.71,7,0,Delivered
SHP000083,55794,1991,485,WH044,121,2025-03-21,2025-03-26,,126,USPS,598.25,3,0,In Transit
SHP000084,65154,1864,459,WH013,279,2025-09-26,2025-09-28,2025-09-28,136,DHL,716.39,2,0,Delivered
SHP000085,83685,729,296,WH040,219,2025-06-30,2025-07-04,2025-07-04,101,USPS,822.61,4,0,Delivered
SHP000086,13172,1622,491,WH027,250,2025-11-02,2025-11-06,2025-11-06,75,UPS,341.73,4,0,Delivered
SHP000087,60479,1118,357,WH022,152,2025-06-11,2025-06-15,2025-06-15,128,Regional Carrier,1400.16,4,0,Delivered
SHP000088,65393,1321,287,WH022,72,2025-08-12,2025-08-16,2025-08-16,69,FedEx,1040.34,4,0,Delivered
SHP000089,90788,739,68,WH033,32,2025-10-10,2025-10-12,2025-10-12,99,DHL,474.43,2,0,Delivered
SHP000090,73413,2093,169,WH008,244,2025-08-09,2025-08-14,2025-08-14,243,DHL,1317.96,5,0,Delivered
SHP000091,99964,2215,452,WH019,38,2025-04-22,2025-04-27,,164,USPS,1238.54,7,0,In Transit
SHP000092,51667,1552,256,WH007,168,2025-01-25,2025-01-29,,30,DHL,1065.0,9,0,In Transit
SHP000093,75280,294,424,WH011,113,2025-05-08,2025-05-14,2025-05-14,173,USPS,1079.99,6,0,Delivered
SHP000094,10642,1354,372,WH017,248,2025-01-07,2025-01-10,2025-01-12,96,Regional Carrier,1034.11,5,2,Delayed
SHP000095,5385,1397,238,WH046,162,2025-11-11,2025-11-16,2025-11-23,170,DHL,1116.12,12,7,Delayed
SHP000096,53757,721,150,WH039,96,2025-09-26,2025-09-30,2025-09-30,166,Regional Carrier,236.82,4,0,Delivered
SHP000097,58456,2028,408,WH009,230,2025-12-10,2025-12-12,2025-12-14,89,Regional Carrier,1406.97,4,2,Delayed
SHP000098,25709,716,497,WH034,175,2025-10-14,2025-10-18,2025-10-18,217,UPS,997.57,4,0,Delivered
SHP000099,68662,211,438,WH032,110,2025-05-24,2025-05-28,2025-06-02,233,DHL,1098.66,9,5,Delayed
SHP000100,26605,1802,238,WH003,191,2025-06-06,2025-06-11,2025-06-15,97,USPS,491.94,9,4,Delayed
SHP000101,43039,1316,110,WH045,192,2025-11-26,2025-12-02,2025-12-03,179,USPS,630.08,7,1,Delayed
SHP000102,47546,147,185,WH006,87,2025-01-15,2025-01-21,2025-01-21,188,FedEx,245.94,6,0,Delivered
SHP000103,78860,1550,171,WH014,178,2025-02-07,2025-02-13,2025-02-15,123,DHL,1282.98,8,2,Delayed
SHP000104,1156,738,475,WH031,295,2025-10-16,2025-10-23,2025-10-23,76,Regional Carrier,1482.75,7,0,Delivered
SHP000105,82995,1573,57,WH018,239,2025-12-04,2025-12-06,2025-12-09,137,Regional Carrier,464.11,5,3,Delayed
SHP000106,62672,1762,246,WH009,65,2025-01-24,2025-01-26,2025-01-26,76,UPS,53.89,2,0,Delivered
SHP000107,66639,1208,89,WH029,110,2025-12-04,2025-12-11,2025-12-11,4,UPS,601.05,7,0,Delivered
SHP000108,78752,1852,383,WH032,209,2025-03-30,2025-04-02,2025-04-02,96,DHL,103.89,3,0,Delivered
SHP000109,15260,1166,85,WH020,125,2025-08-02,2025-08-05,2025-08-05,52,Regional Carrier,698.03,3,0,Delivered
SHP000110,98261,1026,225,WH047,219,2025-06-30,2025-07-05,2025-07-05,93,FedEx,1173.63,5,0,Delivered
SHP000111,46505,151,450,WH036,294,2025-08-17,2025-08-23,2025-08-28,219,UPS,694.88,11,5,Delayed
SHP000112,19149,2219,133,WH042,218,2025-05-15,2025-05-20,2025-05-27,234,USPS,953.2,12,7,Delayed
SHP000113,80240,411,245,WH048,207,2025-06-04,2025-06-11,2025-06-12,30,UPS,211.46,8,1,Delayed
SHP000114,70467,1906,499,WH032,81,2025-02-01,2025-02-08,2025-02-12,73,DHL,938.73,11,4,Delayed
SHP000115,67416,901,76,WH038,177,2025-03-23,2025-03-27,2025-03-27,89,FedEx,220.43,4,0,Delivered
SHP000116,2392,2385,135,WH022,29,2025-04-22,2025-04-24,2025-04-24,113,DHL,527.73,2,0,Delivered
SHP000117,41139,34,432,WH008,6,2025-03-16,2025-03-20,2025-03-22,83,DHL,1136.98,6,2,Delayed
SHP000118,37316,1170,302,WH027,93,2025-10-01,2025-10-04,2025-10-04,12,UPS,1472.96,3,0,Delivered
SHP000119,53627,274,427,WH045,288,2025-03-30,2025-04-01,2025-04-02,229,USPS,904.05,3,1,Delayed
SHP000120,82596,594,21,WH034,106,2025-10-05,2025-10-09,2025-10-09,11,DHL,777.91,4,0,Delivered
SHP000121,56234,478,457,WH001,42,2025-09-10,2025-09-12,2025-09-14,5,Regional Carrier,888.42,4,2,Delayed
SHP000122,32525,1004,241,WH018,22,2025-12-17,2025-12-24,2025-12-24,125,USPS,718.95,7,0,Delivered
SHP000123,99674,849,29,WH026,6,2025-10-25,2025-10-27,2025-10-29,91,DHL,850.42,4,2,Delayed
SHP000124,31414,875,330,WH040,123,2025-09-11,2025-09-16,2025-09-23,235,USPS,380.89,12,7,Delayed
SHP000125,63397,2476,418,WH014,233,2025-09-04,2025-09-09,2025-09-09,46,Regional Carrier,1336.98,5,0,Delivered
SHP000126,63272,515,20,WH006,211,2025-06-27,2025-06-30,2025-07-10,233,Regional Carrier,204.17,13,10,Delayed
SHP000127,54032,1279,145,WH041,285,2025-03-09,2025-03-11,2025-03-11,16,UPS,99.87,2,0,Delivered
SHP000128,56329,1613,199,WH041,263,2025-08-28,2025-09-02,2025-09-06,171,Regional Carrier,349.63,9,4,Delayed
SHP000129,90917,474,121,WH025,293,2025-10-22,2025-10-28,2025-10-28,177,USPS,401.64,6,0,Delivered
SHP000130,43100,2472,393,WH017,108,2025-05-31,2025-06-05,2025-06-05,132,Regional Carrier,185.82,5,0,Delivered
SHP000131,811,648,138,WH028,195,2025-10-22,2025-10-24,2025-10-26,16,UPS,1262.07,4,2,Delayed
SHP000132,78994,1431,331,WH034,223,2025-05-08,2025-05-13,2025-05-13,175,Regional Carrier,1111.03,5,0,Delivered
SHP000133,68735,379,119,WH003,247,2025-12-09,2025-12-14,2025-12-16,194,DHL,426.37,7,2,Delayed
SHP000134,78001,1341,390,WH046,76,2025-05-08,2025-05-10,2025-05-11,112,DHL,838.03,3,1,Delayed
SHP000135,47761,521,77,WH041,162,2025-03-14,2025-03-17,2025-03-19,189,Regional Carrier,1289.9,5,2,Delayed
SHP000136,66346,1184,100,WH015,287,2025-06-16,2025-06-19,2025-06-22,171,FedEx,886.85,6,3,Delayed
SHP000137,7076,2383,470,WH032,151,2025-10-13,2025-10-20,2025-10-21,89,USPS,749.0,8,1,Delayed
SHP000138,64773,1926,80,WH003,195,2025-09-05,2025-09-08,,146,USPS,1136.15,7,1,In Transit
SHP000139,64843,2262,348,WH005,297,2025-06-12,2025-06-17,2025-06-18,88,USPS,732.47,6,1,Delayed
SHP000140,43585,529,418,WH050,284,2025-10-02,2025-10-09,2025-10-09,41,Regional Carrier,510.91,7,0,Delivered
SHP000141,41364,2010,456,WH029,97,2025-04-28,2025-05-02,2025-05-02,232,DHL,1404.55,4,0,Delivered
SHP000142,44541,1004,219,WH021,235,2025-07-24,2025-07-29,2025-07-29,55,DHL,1498.93,5,0,Delivered
SHP000143,3442,80,217,WH024,88,2025-07-03,2025-07-10,2025-07-10,43,Regional Carrier,1379.29,7,0,Delivered
SHP000144,74885,118,154,WH020,35,2025-08-21,2025-08-28,2025-08-28,93,DHL,349.73,7,0,Delivered
SHP000145,64388,1157,215,WH050,76,2025-04-01,2025-04-03,2025-04-03,38,Regional Carrier,859.6,2,0,Delivered
SHP000146,68620,250,176,WH006,202,2025-10-19,2025-10-24,2025-10-24,15,USPS,476.5,5,0,Delivered
SHP000147,98376,2295,379,WH006,256,2025-01-26,2025-01-31,2025-02-03,3,UPS,641.12,8,3,Delayed
SHP000148,9818,1473,380,WH002,202,2025-05-04,2025-05-08,2025-05-08,91,FedEx,1339.07,4,0,Delivered
SHP000149,80082,1147,53,WH022,295,2025-06-27,2025-07-03,2025-07-03,56,UPS,616.73,6,0,Delivered
SHP000150,29748,720,322,WH024,199,2025-11-14,2025-11-18,2025-11-21,28,USPS,140.93,7,3,Delayed
SHP000151,90037,1386,100,WH045,247,2025-04-14,2025-04-16,2025-04-19,46,UPS,1284.83,5,3,Delayed
SHP000152,3066,1980,379,WH029,165,2025-10-21,2025-10-26,2025-10-26,56,DHL,1447.38,5,0,Delivered
SHP000153,27136,1885,131,WH012,7,2025-08-18,2025-08-21,2025-08-21,17,FedEx,55.32,3,0,Delivered
SHP000154,19032,2286,226,WH014,179,2025-09-29,2025-10-03,2025-10-08,144,Regional Carrier,1212.91,9,5,Delayed
SHP000155,65752,1512,246,WH017,95,2025-04-28,2025-05-01,2025-05-01,20,USPS,914.07,3,0,Delivered
SHP000156,35619,1120,331,WH027,144,2025-10-19,2025-10-24,2025-10-24,25,UPS,873.68,5,0,Delivered
SHP000157,31840,2149,258,WH025,118,2025-11-09,2025-11-15,2025-11-15,235,USPS,638.09,6,0,Delivered
SHP000158,88597,1240,211,WH048,221,2025-08-11,2025-08-13,2025-08-13,33,UPS,1198.57,2,0,Delivered
SHP000159,19858,623,4,WH044,173,2025-01-12,2025-01-14,2025-01-14,162,FedEx,1146.89,2,0,Delivered
SHP000160,39973,1798,119,WH035,171,2025-09-29,2025-10-06,2025-10-06,198,UPS,408.28,7,0,Delivered
SHP000161,32438,133,95,WH019,290,2025-08-30,2025-09-04,2025-09-04,101,Regional Carrier,573.35,5,0,Delivered
SHP000162,33184,2401,100,WH040,285,2025-06-16,2025-06-21,2025-06-21,95,FedEx,839.82,5,0,Delivered
SHP000163,14249,399,390,WH013,7,2025-11-28,2025-12-04,2025-12-04,211,USPS,574.25,6,0,Delivered
SHP000164,94049,1246,478,WH006,154,2025-12-05,2025-12-12,,34,UPS,789.59,9,0,In Transit
SHP000165,90232,1541,130,WH015,175,2025-02-13,2025-02-17,2025-02-20,143,FedEx,1082.89,7,3,Delayed
SHP000166,32691,2436,300,WH013,105,2025-05-20,2025-05-25,2025-05-25,60,FedEx,167.59,5,0,Delivered
SHP000167,10768,1296,298,WH041,59,2025-03-17,2025-03-19,2025-03-21,177,UPS,749.76,4,2,Delayed
SHP000168,96124,2302,178,WH041,155,2025-03-09,2025-03-13,,118,Regional Carrier,1286.73,10,0,In Transit
SHP000169,234,1016,110,WH020,155,2025-05-25,2025-05-27,2025-05-27,91,USPS,233.66,2,0,Delivered
SHP000170,67385,1934,461,WH046,54,2025-01-25,2025-01-30,2025-01-30,165,FedEx,784.63,5,0,Delivered
SHP000171,24052,1457,482,WH043,82,2025-02-21,2025-02-28,2025-03-02,250,FedEx,406.5,9,2,Delayed
SHP000172,23152,2109,257,WH030,145,2025-08-03,2025-08-08,2025-08-10,23,Regional Carrier,1494.84,7,2,Delayed
SHP000173,93441,7,304,WH001,32,2025-04-27,2025-05-03,2025-05-06,67,FedEx,741.45,9,3,Delayed
SHP000174,76592,1433,252,WH010,38,2025-11-29,2025-12-05,2025-12-05,239,UPS,1083.75,6,0,Delivered
SHP000175,75196,474,466,WH026,230,2025-03-24,2025-03-28,2025-03-28,55,USPS,1158.38,4,0,Delivered
SHP000176,50906,162,23,WH023,85,2025-04-27,2025-04-29,2025-04-29,72,USPS,1411.93,2,0,Delivered
SHP000177,22459,999,162,WH015,218,2025-08-15,2025-08-22,2025-08-22,170,FedEx,880.78,7,0,Delivered
SHP000178,87261,1069,145,WH015,150,2025-10-15,2025-10-21,2025-10-21,35,DHL,69.86,6,0,Delivered
SHP000179,57558,710,96,WH026,220,2025-06-12,2025-06-16,2025-06-16,229,Regional Carrier,413.49,4,0,Delivered
SHP000180,12114,1001,141,WH025,279,2025-03-19,2025-03-24,2025-03-27,13,Regional Carrier,734.3,8,3,Delayed
SHP000181,42529,1002,265,WH027,74,2025-01-16,2025-01-20,2025-01-20,229,USPS,892.34,4,0,Delivered
SHP000182,3626,1481,495,WH026,224,2025-01-29,2025-02-02,2025-02-05,104,Regional Carrier,1202.67,7,3,Delayed
SHP000183,86371,60,216,WH001,226,2025-07-25,2025-07-30,2025-07-30,9,Regional Carrier,1265.39,5,0,Delivered
SHP000184,44125,1891,152,WH016,291,2025-11-30,2025-12-04,2025-12-04,110,DHL,1155.19,4,0,Delivered
SHP000185,63199,1457,106,WH001,295,2025-02-27,2025-03-02,2025-03-02,218,USPS,331.02,3,0,Delivered
SHP000186,58954,1697,160,WH039,114,2025-02-21,2025-02-25,,2,USPS,224.87,1,0,In Transit
SHP000187,89408,478,125,WH050,100,2025-02-23,2025-02-28,2025-02-28,235,DHL,1494.19,5,0,Delivered
SHP000188,65887,1215,12,WH015,27,2025-12-08,2025-12-14,2025-12-16,228,USPS,738.14,8,2,Delayed
SHP000189,17313,560,86,WH035,262,2025-07-13,2025-07-16,2025-07-21,152,FedEx,1468.94,8,5,Delayed
SHP000190,24408,1410,373,WH004,189,2025-10-16,2025-10-18,2025-10-18,194,Regional Carrier,526.06,2,0,Delivered
SHP000191,62336,1276,45,WH008,254,2025-10-15,2025-10-22,2025-10-24,60,UPS,302.06,9,2,Delayed
SHP000192,7000,727,376,WH010,129,2025-07-23,2025-07-26,2025-07-26,198,Regional Carrier,889.75,3,0,Delivered
SHP000193,21428,1144,409,WH042,228,2025-02-04,2025-02-09,2025-02-09,215,FedEx,572.35,5,0,Delivered
SHP000194,55769,309,378,WH047,215,2025-05-12,2025-05-17,2025-05-19,238,Regional Carrier,962.97,7,2,Delayed
SHP000195,55668,1528,315,WH043,24,2025-03-25,2025-03-28,2025-04-01,87,Regional Carrier,1098.8,7,4,Delayed
SHP000196,21246,778,479,WH011,161,2025-04-07,2025-04-10,2025-04-10,5,FedEx,1356.83,3,0,Delivered
SHP000197,33559,2316,179,WH019,186,2025-10-14,2025-10-20,2025-10-20,247,Regional Carrier,922.2,6,0,Delivered
SHP000198,45404,623,52,WH015,147,2025-04-16,2025-04-18,2025-04-22,83,Regional Carrier,64.19,6,4,Delayed
SHP000199,52419,1378,160,WH009,6,2025-11-04,2025-11-06,2025-11-09,202,DHL,505.68,5,3,Delayed
SHP000200,83026,96,311,WH020,25,2025-03-29,2025-04-01,2025-04-01,100,DHL,1367.84,3,0,Delivered
SHP000201,28211,849,376,WH010,216,2025-03-02,2025-03-07,2025-03-07,94,FedEx,97.09,5,0,Delivered
SHP000202,99325,716,429,WH001,9,2025-05-31,2025-06-05,2025-06-05,216,DHL,640.77,5,0,Delivered
SHP000203,71134,307,471,WH016,146,2025-03-22,2025-03-26,2025-03-26,3,USPS,895.0,4,0,Delivered
SHP000204,44076,2488,481,WH008,192,2025-11-29,2025-12-04,2025-12-04,72,Regional Carrier,536.47,5,0,Delivered
SHP000205,72065,594,65,WH011,32,2025-11-27,2025-12-04,2025-12-08,68,USPS,129.82,11,4,Delayed
SHP000206,90378,1096,80,WH005,297,2025-06-04,2025-06-08,2025-06-08,189,Regional Carrier,86.84,4,0,Delivered
SHP000207,14231,846,364,WH009,272,2025-01-14,2025-01-16,2025-01-18,137,DHL,1318.64,4,2,Delayed
SHP000208,59894,2353,437,WH029,55,2025-08-26,2025-08-29,2025-09-02,162,USPS,113.24,7,4,Delayed
SHP000209,63174,1188,343,WH005,206,2025-05-15,2025-05-17,2025-05-24,216,FedEx,1453.32,9,7,Delayed
SHP000210,8006,2362,427,WH004,281,2025-06-11,2025-06-15,2025-06-15,161,Regional Carrier,493.42,4,0,Delivered
SHP000211,23424,2068,202,WH037,98,2025-12-13,2025-12-17,2025-12-21,5,UPS,1339.8,8,4,Delayed
SHP000212,57414,1367,74,WH005,279,2025-01-04,2025-01-11,2025-01-14,61,DHL,423.34,10,3,Delayed
SHP000213,98566,1741,324,WH043,24,2025-08-09,2025-08-12,,55,FedEx,58.88,8,1,In Transit
SHP000214,65625,16,276,WH009,135,2025-09-11,2025-09-15,2025-09-17,22,UPS,1478.64,6,2,Delayed
SHP000215,8340,674,54,WH010,217,2025-07-27,2025-07-31,2025-07-31,7,USPS,393.45,4,0,Delivered
SHP000216,85891,2216,146,WH022,22,2025-12-03,2025-12-10,2025-12-10,47,FedEx,278.9,7,0,Delivered
SHP000217,7584,2218,166,WH012,112,2025-01-19,2025-01-25,2025-01-25,194,FedEx,1119.4,6,0,Delivered
SHP000218,60274,369,359,WH048,232,2025-05-30,2025-06-05,2025-06-05,109,Regional Carrier,1283.69,6,0,Delivered
SHP000219,89261,241,270,WH024,94,2025-02-11,2025-02-15,2025-02-19,42,UPS,1288.58,8,4,Delayed
SHP000220,50967,1266,412,WH030,225,2025-06-11,2025-06-15,2025-06-16,96,DHL,1041.89,5,1,Delayed
SHP000221,45814,1895,256,WH022,107,2025-05-26,2025-05-30,2025-05-30,202,Regional Carrier,681.33,4,0,Delivered
SHP000222,73139,189,120,WH033,19,2025-10-28,2025-11-01,2025-11-11,68,FedEx,1484.22,14,10,Delayed
SHP000223,10054,1666,274,WH009,138,2025-07-19,2025-07-25,2025-07-27,213,FedEx,590.95,8,2,Delayed
SHP000224,47382,380,394,WH049,98,2025-06-04,2025-06-11,2025-06-11,132,Regional Carrier,518.59,7,0,Delivered
SHP000225,16298,303,168,WH033,296,2025-01-07,2025-01-12,2025-01-12,167,FedEx,1425.46,5,0,Delivered
SHP000226,64228,1364,162,WH021,98,2025-12-06,2025-12-11,,223,Regional Carrier,360.66,4,0,In Transit
SHP000227,82461,2015,154,WH037,33,2025-01-08,2025-01-15,2025-01-15,72,USPS,274.84,7,0,Delivered
